MDTU,|Tr(Lx)|,|Tr(Ly)|,|Tr(Lz)|,|Tr(L5)|
316,0.971225,0.118153,0.105014,0.00239634
317,0.971805,0.0969252,0.0933328,0.00396618
318,0.972893,0.0763552,0.184321,0.00795298
319,0.974052,0.104054,0.0786837,0.00773494
320,0.97155,0.102953,0.138519,0.0102383
321,0.969379,0.0348164,0.0767755,0.00197457
322,0.967792,0.085695,0.0881667,0.00526125
323,0.965039,0.0684067,0.0403639,0.00407667
324,0.965021,0.0742687,0.0464578,0.00708595
325,0.970334,0.0407331,0.0665449,0.00272769
326,0.970334,0.0407331,0.0665449,0.00272769
327,0.96992,0.0764049,0.0254054,0.00606902
328,0.970536,0.0679918,0.0575232,0.00851566
329,0.966813,0.0699714,0.0483726,0.00645826
330,0.964851,0.0694521,0.120681,0.0078796
331,0.968781,0.0774242,0.0933191,0.00407346
332,0.971738,0.0466238,0.113613,0.00242459
333,0.968759,0.0811176,0.114931,0.0060518
334,0.970581,0.0685603,0.102125,0.00712661
335,0.969674,0.0722724,0.161132,0.0058432
336,0.969557,0.0831615,0.183033,0.00229135
337,0.963018,0.126638,0.0742307,0.00584968
338,0.956782,0.112367,0.173058,0.00504476
339,0.956782,0.112367,0.173058,0.00504476
340,0.956782,0.112367,0.173058,0.00504476
341,0.954221,0.11686,0.297304,0.00417666
342,0.957573,0.0662165,0.156473,0.00869543
343,0.957573,0.0662165,0.156473,0.00869543
344,0.957573,0.0662165,0.156473,0.00869543
345,0.961005,0.080801,0.138494,0.00174803
346,0.96428,0.052041,0.187235,0.00379391
347,0.96703,0.039842,0.136417,0.00341087
348,0.965857,0.109822,0.0593458,0.00181701
349,0.973674,0.151931,0.0476207,0.00477901
350,0.970752,0.125368,0.137493,0.00566124
351,0.9721,0.114605,0.121878,0.00638911
352,0.968377,0.0992971,0.0615235,0.00327313
353,0.963575,0.150385,0.0790619,0.002988
354,0.964353,0.143307,0.166874,0.00691433
355,0.964353,0.143307,0.166874,0.00691433
356,0.96356,0.143794,0.15697,0.00464729
357,0.964631,0.169523,0.14125,0.00470871
358,0.969299,0.179011,0.0723329,0.00678253
359,0.969299,0.179011,0.0723329,0.00678253
360,0.965122,0.171798,0.10775,0.00133412
361,0.958766,0.166166,0.0812223,0.00478448
362,0.962643,0.140602,0.0847319,0.00426794
363,0.959615,0.224138,0.0701797,0.00248468
364,0.962665,0.184149,0.0321982,0.001847
365,0.968054,0.170518,0.0400182,0.00325483
366,0.964957,0.144796,0.031915,0.00475574
367,0.964957,0.144796,0.031915,0.00475574
368,0.964212,0.139279,0.077979,0.00713196
369,0.963159,0.14641,0.0268815,0.0070175
370,0.95933,0.168899,0.05651,0.00233161
371,0.959828,0.300394,0.0996817,0.00806137
372,0.959437,0.223871,0.117407,0.00837086
373,0.959437,0.223871,0.117407,0.00837086
374,0.959437,0.223871,0.117407,0.00837086
375,0.959437,0.223871,0.117407,0.00837086
376,0.958679,0.144258,0.147059,0.00955927
377,0.9617,0.20322,0.0400099,0.00373772
378,0.963987,0.187721,0.0678031,0.00689126
379,0.962741,0.154592,0.0804986,0.00501577
380,0.963563,0.161237,0.108331,0.00409433
381,0.958398,0.205895,0.140394,0.00518582
382,0.954375,0.230417,0.0706353,0.00747176
383,0.958542,0.181456,0.0200667,0.0140564
384,0.960586,0.13274,0.0649568,0.0112605
385,0.960586,0.13274,0.0649568,0.0112605
386,0.960586,0.13274,0.0649568,0.0112605
387,0.958104,0.123078,0.045703,0.00551992
388,0.962773,0.150236,0.0584187,0.00861724
389,0.962773,0.150236,0.0584187,0.00861724
390,0.958781,0.0954244,0.091599,0.00156051
391,0.956997,0.168569,0.0791179,0.00667256
392,0.956997,0.168569,0.0791179,0.00667256
393,0.957881,0.139041,0.0512613,0.00193888
394,0.957881,0.139041,0.0512613,0.00193888
395,0.959993,0.119451,0.0961472,0.00256951
396,0.959993,0.119451,0.0961472,0.00256951
397,0.959993,0.119451,0.0961472,0.00256951
398,0.959993,0.119451,0.0961472,0.00256951
