MDTU,plaq,Re(det),Im(det),link
6142,0.924621,1.09339,0.269915,0.098671
6143,0.918046,1.09743,0.269157,0.0983096
6144,0.901777,1.02226,0.256263,0.0965483
6145,0.871741,0.946255,0.241741,0.0936539
6146,0.870797,0.941829,0.242472,0.0935756
6147,0.870797,0.941829,0.242472,0.0935756
6148,0.860562,0.906246,0.234752,0.0927764
6149,0.895701,0.983867,0.249339,0.0963187
6150,0.895701,0.983867,0.249339,0.0963187
6151,0.873422,0.966727,0.24769,0.0937807
6152,0.846814,0.900286,0.238247,0.090913
6153,0.866399,0.915416,0.23577,0.0933248
6154,0.903732,0.992325,0.249166,0.0969514
6155,0.925327,0.982833,0.241012,0.0993665
6156,0.925327,0.982833,0.241012,0.0993665
6157,0.915805,0.961152,0.238282,0.0987392
6158,0.921684,0.986385,0.240203,0.0989587
6159,0.926861,1.02405,0.250477,0.0992719
6160,0.958258,1.05932,0.257017,0.103196
6161,0.951863,1.12023,0.265192,0.101815
6162,0.963553,1.12546,0.267241,0.103179
6163,0.976798,1.13609,0.270189,0.104879
6164,0.961734,1.09899,0.263237,0.103096
6165,0.961734,1.09899,0.263237,0.103096
6166,0.961734,1.09899,0.263237,0.103096
6167,0.970833,1.10451,0.265426,0.10404
6168,0.975844,1.09994,0.26473,0.104723
6169,0.956513,1.0783,0.263022,0.102742
6170,0.956513,1.0783,0.263022,0.102742
6171,0.978287,1.13292,0.266632,0.10445
6172,0.978287,1.13292,0.266632,0.10445
6173,0.985073,1.13897,0.264209,0.10526
6174,0.980024,1.08192,0.25719,0.10508
6175,0.980024,1.08192,0.25719,0.10508
6176,0.980024,1.08192,0.25719,0.10508
6177,0.976594,1.07291,0.251271,0.104797
6178,0.991616,1.10489,0.257355,0.106509
6179,0.991616,1.10489,0.257355,0.106509
6180,0.984976,1.09897,0.260343,0.105681
6181,0.959898,1.0265,0.249037,0.10386
6182,0.959898,1.0265,0.249037,0.10386
6183,0.959898,1.0265,0.249037,0.10386
6184,0.96499,1.00194,0.244997,0.105093
6185,0.96499,1.00194,0.244997,0.105093
6186,0.953619,0.996778,0.244747,0.103832
6187,0.945004,0.98263,0.242469,0.102789
6188,0.945004,0.98263,0.242469,0.102789
6189,0.945004,0.98263,0.242469,0.102789
6190,0.945004,0.98263,0.242469,0.102789
6191,0.945004,0.98263,0.242469,0.102789
6192,0.931292,0.94847,0.241762,0.101326
6193,0.931292,0.94847,0.241762,0.101326
6194,0.931292,0.94847,0.241762,0.101326
6195,0.924459,0.949238,0.236869,0.100029
6196,0.924459,0.949238,0.236869,0.100029
6197,0.924459,0.949238,0.236869,0.100029
6198,0.8831,0.929576,0.240485,0.0950532
6199,0.857042,0.859937,0.224498,0.0924807
6200,0.836793,0.828531,0.219175,0.090278
6201,0.854433,0.866481,0.226424,0.092502
6202,0.819474,0.800585,0.215334,0.0891062
6203,0.813114,0.819505,0.220085,0.0880179
6204,0.813114,0.819505,0.220085,0.0880179
6205,0.813114,0.819505,0.220085,0.0880179
6206,0.819664,0.872481,0.22885,0.0878849
6207,0.809132,0.826882,0.22101,0.0868639
6208,0.797871,0.831448,0.223312,0.0853967
6209,0.786496,0.801783,0.217957,0.084523
6210,0.809123,0.792748,0.213334,0.0875562
6211,0.781886,0.775385,0.211381,0.084443
6212,0.756808,0.760324,0.21135,0.0814258
6213,0.737058,0.762475,0.212917,0.078424
6214,0.735677,0.739225,0.205127,0.0784376
6215,0.735677,0.739225,0.205127,0.0784376
6216,0.773631,0.771604,0.207239,0.0826932
6217,0.717274,0.713896,0.204614,0.0768862
6218,0.693684,0.672672,0.19326,0.0741282
6219,0.731686,0.723022,0.201965,0.0781652
6220,0.731686,0.723022,0.201965,0.0781652
6221,0.745567,0.754777,0.208395,0.079333
6222,0.738926,0.716466,0.202385,0.0792649
6223,0.737088,0.740113,0.209895,0.0794361
6224,0.737088,0.740113,0.209895,0.0794361
6225,0.737088,0.740113,0.209895,0.0794361
6226,0.753851,0.725603,0.205132,0.0817154
6227,0.779894,0.751871,0.208538,0.0852292
6228,0.779894,0.751871,0.208538,0.0852292
6229,0.808845,0.800011,0.217935,0.0879355
6230,0.857033,0.831916,0.219044,0.0937125
6231,0.853929,0.836032,0.223796,0.0932509
6232,0.853929,0.836032,0.223796,0.0932509
6233,0.853929,0.836032,0.223796,0.0932509
6234,0.856712,0.815454,0.21616,0.0938529
6235,0.856712,0.815454,0.21616,0.0938529
6236,0.796957,0.733772,0.198155,0.0869553
6237,0.819145,0.774687,0.209447,0.0893507
6238,0.819145,0.774687,0.209447,0.0893507
6239,0.786385,0.740581,0.204206,0.085528
6240,0.771031,0.698528,0.19163,0.0838473
