MDTU,min_width,max_width
527,0.0321823,0.0230259
528,0.0321823,0.0230259
529,0.0321823,0.0230259
530,0.032731,0.0232373
531,0.032209,0.0224967
532,0.032908,0.0231573
533,0.032908,0.0231573
534,0.0328024,0.0233769
535,0.0326786,0.0231865
536,0.0326786,0.0231865
537,0.0326786,0.0231865
538,0.0326786,0.0231865
539,0.0329609,0.0234964
540,0.0329609,0.0234964
541,0.033764,0.0238404
542,0.033764,0.0238404
543,0.033764,0.0238404
544,0.0336896,0.0236052
545,0.0336896,0.0236052
546,0.0336274,0.0235117
547,0.033048,0.023088
548,0.033048,0.023088
549,0.0324082,0.0230518
550,0.0324082,0.0230518
551,0.0324082,0.0230518
552,0.0319388,0.0224222
553,0.0319889,0.0225403
554,0.0322812,0.0224719
555,0.0321863,0.0226734
556,0.0319771,0.0226359
557,0.0327227,0.0226368
558,0.0327885,0.0227072
559,0.0327885,0.0227072
560,0.0327885,0.0227072
561,0.0324709,0.0228689
562,0.0324709,0.0228689
563,0.0334171,0.0235038
564,0.0334171,0.0235038
565,0.0332926,0.0232244
566,0.0335036,0.0236675
567,0.0331649,0.0232276
568,0.0330647,0.0236579
569,0.0330647,0.0236579
570,0.0332015,0.0236576
571,0.0342044,0.0243827
572,0.0342044,0.0243827
573,0.0332793,0.0238081
574,0.0332018,0.0235715
575,0.0332018,0.0235715
576,0.0329423,0.0237767
577,0.0329423,0.0237767
578,0.0329423,0.0237767
579,0.0325307,0.0234167
580,0.0326983,0.023524
581,0.0326983,0.023524
582,0.0323122,0.0230065
583,0.0318507,0.0225933
584,0.0321833,0.0225469
585,0.0321833,0.0225469
586,0.0325568,0.0228021
587,0.032523,0.0230861
588,0.032523,0.0230861
589,0.032523,0.0230861
590,0.032523,0.0230861
591,0.0320439,0.0225772
592,0.0324474,0.0231369
593,0.0321469,0.0228146
594,0.0331908,0.0233154
595,0.0331908,0.0233154
596,0.0331908,0.0233154
597,0.0338027,0.0238298
598,0.0338027,0.0238298
599,0.0340162,0.0241463
600,0.0336428,0.0239184
601,0.0336428,0.0239184
602,0.0336428,0.0239184
603,0.0336428,0.0239184
604,0.0331344,0.0236147
605,0.0333605,0.0237912
606,0.0332178,0.0238524
607,0.0326573,0.0229981
608,0.0325936,0.0228761
609,0.0331226,0.0237229
610,0.0327137,0.0228354
611,0.0327137,0.0228354
612,0.0326786,0.0228193
613,0.0319637,0.0229152
614,0.0319637,0.0229152
615,0.0317831,0.0226805
616,0.0324746,0.0229422
617,0.0323465,0.0232546
618,0.0328834,0.0232799
619,0.0322687,0.0229181
620,0.0326826,0.0232152
621,0.0326826,0.0232152
622,0.0328557,0.0233794
623,0.0318388,0.0224082
624,0.0309677,0.0216925
625,0.0314516,0.0218915
626,0.0314516,0.0218915
627,0.0322239,0.0221495
628,0.0321234,0.0223582
629,0.0326383,0.0230657
630,0.0315103,0.0225362
631,0.0325744,0.0233407
632,0.0325744,0.0233407
633,0.0325744,0.0233407
634,0.0331834,0.0236607
635,0.0329149,0.0235561
636,0.0329149,0.0235561
637,0.0333846,0.0234086
638,0.0330951,0.0233906
639,0.0330951,0.0233906
640,0.0320318,0.0227766
641,0.0327862,0.0234106
642,0.0333699,0.0236843
643,0.0333699,0.0236843
644,0.032191,0.0231496
645,0.032191,0.0231496
646,0.0322241,0.0231455
647,0.0318055,0.0225441
648,0.0314155,0.0226545
649,0.0314155,0.0226545
650,0.0310623,0.0220405
651,0.0309101,0.0220379
652,0.0309101,0.0220379
653,0.0318718,0.0229089
654,0.0323007,0.0226153
655,0.0326777,0.0229953
656,0.0326777,0.0229953
657,0.032606,0.0230237
658,0.0331681,0.0233752
659,0.0331681,0.0233752
660,0.033018,0.0236503
661,0.033018,0.0236503
662,0.033018,0.0236503
663,0.0327334,0.0231214
664,0.0327334,0.0231214
665,0.0326585,0.0229175
666,0.0331902,0.0235118
667,0.033102,0.0230999
668,0.0326209,0.0232668
669,0.0326209,0.0232668
670,0.033026,0.0229638
671,0.0333225,0.0233017
672,0.0328626,0.0234133
673,0.0333485,0.023407
674,0.0340697,0.0243267
675,0.0345584,0.0247469
676,0.0344046,0.02449
677,0.0344046,0.02449
678,0.0344046,0.02449
679,0.0344767,0.0244052
680,0.0340424,0.0238281
681,0.0339626,0.0240153
682,0.0339626,0.0240153
683,0.0339626,0.0240153
684,0.0336705,0.0238677
685,0.0332086,0.0235497
686,0.0332086,0.0235497
687,0.032236,0.0233296
688,0.032524,0.0230846
689,0.032524,0.0230846
690,0.032524,0.0230846
691,0.0321863,0.0232777
692,0.0325065,0.0231525
693,0.0321715,0.0228313
694,0.0313944,0.0223694
695,0.0313944,0.0223694
696,0.0318744,0.0222851
697,0.0318744,0.0222851
698,0.0320834,0.0227384
699,0.0319797,0.0229613
700,0.0323316,0.0227921
701,0.0329319,0.0231737
702,0.0329319,0.0231737
703,0.0329319,0.0231737
704,0.0324259,0.0227172
705,0.0324379,0.0228561
706,0.0326146,0.0227689
707,0.0326146,0.0227689
708,0.0318572,0.0227975
709,0.0324036,0.0226797
710,0.0324036,0.0226797
711,0.0325607,0.0233426
712,0.0319797,0.0230094
713,0.0321645,0.0230139
714,0.0319403,0.0227301
715,0.0319403,0.0227301
716,0.033054,0.0235594
717,0.0335544,0.023511
718,0.0333163,0.0233745
719,0.0334671,0.0235746
720,0.0326512,0.0234808
721,0.0326512,0.0234808
722,0.0336397,0.0242268
723,0.0336397,0.0242268
724,0.0336397,0.0242268
725,0.0338184,0.0237011
726,0.0332333,0.0235692
727,0.033529,0.0237027
728,0.0334294,0.0236787
729,0.0332458,0.0231597
730,0.0340155,0.0242336
731,0.0326803,0.0234117
732,0.0333784,0.0234692
733,0.0333784,0.0234692
734,0.0333784,0.0234692
735,0.032755,0.0235159
736,0.0323796,0.0229449
737,0.0327515,0.0229509
738,0.0327515,0.0229509
739,0.0327515,0.0229509
740,0.0327515,0.0229509
741,0.0321681,0.0228678
742,0.032078,0.0230096
743,0.032502,0.0229182
744,0.0324847,0.0227033
745,0.0324847,0.0227033
746,0.0324847,0.0227033
747,0.0328973,0.0233878
748,0.0328973,0.0233878
749,0.0338263,0.0241145
750,0.0331212,0.0234756
751,0.0328638,0.0235473
752,0.0328638,0.0235473
753,0.0325638,0.022944
754,0.0319322,0.0226155
755,0.0313866,0.0222084
756,0.0312357,0.0221205
757,0.0315442,0.0221554
758,0.0309726,0.0220804
759,0.0309726,0.0220804
760,0.0309726,0.0220804
761,0.0311754,0.022323
762,0.0309988,0.0219865
763,0.0309988,0.0219865
764,0.0309988,0.0219865
765,0.031049,0.0220523
766,0.0307775,0.0216134
767,0.0318283,0.0223767
768,0.0318283,0.0223767
769,0.0326144,0.0231485
770,0.0318035,0.0222318
771,0.0318035,0.0222318
772,0.0320602,0.0223815
773,0.0320602,0.0223815
774,0.0322682,0.0226781
775,0.0322682,0.0226781
776,0.0322682,0.0226781
777,0.0314425,0.0222061
778,0.0323433,0.0226785
779,0.0323433,0.0226785
780,0.0321967,0.0226418
781,0.0318755,0.0222141
782,0.0318755,0.0222141
783,0.03185,0.022153
784,0.0322821,0.022532
785,0.0321192,0.022277
786,0.0315587,0.0222272
787,0.0315741,0.0224437
788,0.0315741,0.0224437
789,0.0320589,0.0227212
790,0.0320589,0.0227212
791,0.0316468,0.0223764
792,0.0316468,0.0223764
793,0.0317053,0.0226423
794,0.0317053,0.0226423
795,0.0317053,0.0226423
796,0.0320962,0.0231134
797,0.032496,0.0230741
798,0.03222,0.0231305
