t,e^(-dS)
1000,2.11129
1001,0.669048
1002,0.277204
1003,1.02846
1004,1.6913
1005,4.47273
1006,2.59218
1007,0.829029
1008,0.456759
1009,1.49048
1010,0.13239
1011,0.299392
1012,0.281957
1013,0.305746
1014,0.470716
1015,0.274446
1016,0.218275
1017,0.500874
1018,0.65685
1019,0.307894
1020,3.92749
1021,1.47846
1022,0.567679
1023,0.628072
1024,0.773446
1025,0.522255
1026,0.332538
1027,0.260019
1028,2.68801
1029,0.167797
1030,0.964727
1031,0.5244
1032,0.197306
1033,0.898705
1034,1.35757
1035,0.16563
1036,0.234336
1037,1.30813
1038,0.277482
1039,0.911294
1040,1.25772
1041,1.02976
1042,0.261846
1043,0.638394
1044,0.822341
1045,0.0919969
1046,0.596247
1047,3.23167
1048,0.145439
1049,1.57602
1050,0.2595
1051,1.71446
1052,0.336553
1053,0.0837432
1054,1.00707
1055,0.730227
1056,0.730665
1057,0.199488
1058,1.09952
1059,0.422105
1060,0.734401
1061,1.32711
1062,1.06868
1063,0.938906
1064,0.621201
1065,2.05505
1066,0.406692
1067,0.484421
1068,0.384466
1069,0.203518
1070,3.29037
1071,0.101672
1072,3.17402
1073,2.64852
1074,1.34528
1075,0.458498
1076,1.45049
1077,1.17375
1078,0.0737555
1079,1.40593
1080,1.29046
1081,0.591496
1082,1.12795
1083,1.24048
1084,0.799155
1085,0.456393
1086,1.38099
1087,0.42312
1088,0.300292
1089,0.958879
1090,0.754802
1091,0.514531
1092,4.10826
1093,0.301797
1094,2.21511
1095,1.5026
1096,0.496635
1097,1.19351
1098,0.992065
1099,0.0955601
1100,0.99811
1101,1.69537
1102,0.232004
1103,0.296117
1104,0.554272
1105,1.38652
1106,1.16311
1107,0.108501
1108,1.10539
1109,0.519079
1110,0.0934807
1111,0.0976857
1112,5.76612
1113,0.330219
1114,1.91114
1115,0.600616
1116,1.33937
1117,1.2019
1118,0.590432
1119,0.3982
1120,0.324652
1121,0.222684
1122,1.08495
1123,0.254616
1124,1.96462
1125,0.937358
1126,0.967036
1127,0.480754
1128,0.9553
1129,1.35771
1130,0.791678
1131,1.08219
1132,0.534513
1133,0.108935
1134,0.526344
1135,0.698095
1136,0.066205
1137,0.245367
1138,1.61882
1139,0.786077
1140,0.337227
1141,0.541561
1142,0.715553
1143,0.151223
1144,3.90009
1145,0.587194
1146,0.535797
1147,0.727967
1148,1.41793
1149,0.169314
1150,0.0883013
1151,0.715553
1152,0.657375
1153,0.518093
1154,0.266335
1155,0.993368
1156,1.10046
1157,0.338578
1158,1.70677
1159,0.288517
1160,0.483695
1161,0.748488
1162,0.466079
1163,1.65054
1164,0.406001
1165,0.231309
1166,0.210767
1167,0.713695
1168,0.272259
1169,0.305441
1170,1.46903
1171,3.53955
1172,0.833851
1173,6.93097
1174,1.62775
1175,0.226276
1176,0.766209
1177,0.362765
1178,0.29464
1179,1.08104
1180,0.63833
1181,0.56355
1182,0.281675
1183,2.24858
1184,0.609754
1185,0.183049
1186,1.15766
1187,0.790176
1188,1.33897
1189,1.24832
1190,0.300592
1191,0.614897
1192,1.71172
1193,0.142416
1194,0.74245
1195,0.356294
1196,4.03497
1197,0.833851
1198,0.102387
1199,1.73568
1200,0.684819
1201,4.63669
