MDTU,plaq_ss,plaq_st
535,0.947297,1.04271
536,0.947297,1.04271
537,0.942204,1.04206
538,0.943059,1.03837
539,0.941217,1.03546
540,0.942156,1.0325
541,0.942156,1.0325
542,0.942028,1.04496
543,0.943325,1.0397
544,0.942905,1.04138
545,0.945771,1.03637
546,0.949214,1.03851
547,0.949214,1.03851
548,0.949214,1.03851
549,0.949356,1.0361
550,0.945059,1.04344
551,0.949473,1.03982
552,0.949473,1.03982
553,0.949473,1.03982
554,0.946979,1.04117
555,0.948653,1.04252
556,0.949748,1.03876
557,0.950316,1.04197
558,0.954238,1.04764
559,0.954238,1.04764
560,0.951992,1.03421
561,0.951992,1.03421
562,0.9534,1.03768
563,0.9534,1.03768
564,0.956116,1.03764
565,0.956116,1.03764
566,0.956116,1.03764
567,0.95126,1.04209
568,0.952505,1.04254
569,0.952505,1.04254
570,0.952108,1.04198
571,0.951695,1.03701
572,0.950947,1.03413
573,0.950947,1.03413
574,0.944658,1.03901
575,0.949513,1.04047
576,0.951011,1.03959
577,0.945351,1.03617
578,0.946623,1.03251
579,0.94431,1.03088
580,0.936853,1.03514
581,0.936339,1.03864
582,0.936339,1.03864
583,0.936339,1.03864
584,0.938069,1.03748
585,0.935021,1.04174
586,0.935021,1.04174
587,0.934828,1.03908
588,0.934828,1.03908
589,0.936936,1.04498
590,0.934696,1.04056
591,0.939535,1.04618
592,0.934874,1.04091
593,0.934874,1.04091
594,0.941896,1.04518
595,0.948379,1.05132
596,0.944775,1.04827
597,0.944775,1.04827
598,0.939218,1.04759
599,0.941327,1.04625
600,0.940035,1.03971
601,0.944278,1.04103
602,0.944789,1.03425
603,0.947989,1.03755
604,0.940962,1.04238
605,0.944818,1.04718
606,0.944818,1.04718
607,0.93962,1.03622
608,0.938684,1.03446
609,0.944423,1.03734
610,0.94397,1.04466
611,0.94397,1.04466
612,0.9379,1.04151
613,0.9379,1.04151
614,0.9379,1.04151
615,0.932912,1.03491
616,0.935429,1.0337
617,0.935429,1.0337
618,0.934657,1.03038
619,0.935548,1.02736
620,0.935548,1.02736
621,0.94119,1.0241
622,0.945001,1.02265
623,0.948364,1.02756
624,0.948364,1.02756
625,0.94493,1.02792
