MDTU,min_min,min_max,max_min,max_max5
270,-0.407765,-0.0243693,0.0705228,0.295115
271,-0.448036,-0.0355017,0.0797816,0.292092
272,-0.397481,-0.0210442,0.0778917,0.303081
273,-0.397481,-0.0210442,0.0778917,0.303081
274,-0.404055,-0.0232015,0.0776319,0.308361
275,-0.404055,-0.0232015,0.0776319,0.308361
276,-0.404055,-0.0232015,0.0776319,0.308361
277,-0.415482,-0.0245785,0.0781611,0.305024
278,-0.415482,-0.0245785,0.0781611,0.305024
279,-0.401437,-0.0265007,0.0724877,0.302204
280,-0.414093,-0.032159,0.0618174,0.308824
281,-0.402027,-0.0280661,0.0709759,0.302289
282,-0.406548,-0.0305745,0.065979,0.30905
283,-0.406548,-0.0305745,0.065979,0.30905
284,-0.406548,-0.0305745,0.065979,0.30905
285,-0.406548,-0.0305745,0.065979,0.30905
286,-0.406548,-0.0305745,0.065979,0.30905
287,-0.397321,-0.0282004,0.0651432,0.317932
288,-0.397321,-0.0282004,0.0651432,0.317932
289,-0.397321,-0.0282004,0.0651432,0.317932
290,-0.38841,-0.0318609,0.0647375,0.312566
291,-0.410032,-0.0270996,0.0745916,0.312491
292,-0.43677,-0.0144396,0.0653714,0.31247
293,-0.401283,-0.0208635,0.0770994,0.311437
294,-0.401283,-0.0313674,0.0768935,0.295284
295,-0.405529,-0.0285381,0.0737316,0.324303
296,-0.401147,-0.0113326,0.0722891,0.31255
297,-0.401147,-0.0113326,0.0722891,0.31255
298,-0.390537,-0.014124,0.0687615,0.308456
299,-0.390537,-0.014124,0.0687615,0.308456
300,-0.407949,-0.0237795,0.0800265,0.299329
301,-0.406524,-0.0160742,0.0787428,0.320499
302,-0.400183,-0.0189173,0.0734807,0.300286
303,-0.410566,-0.0177884,0.0721528,0.318382
304,-0.410566,-0.0177884,0.0721528,0.318382
305,-0.400655,-0.00903416,0.0685007,0.298051
306,-0.405052,-0.0137958,0.0689223,0.31545
307,-0.400219,-0.0221791,0.0685052,0.312742
308,-0.403891,-0.0235587,0.0730188,0.301375
309,-0.403891,-0.0235587,0.0730188,0.301375
310,-0.403891,-0.0235587,0.0730188,0.301375
311,-0.400917,-0.0223951,0.0787506,0.31376
312,-0.415732,-0.0371778,0.0669894,0.299157
313,-0.457265,-0.0283763,0.0669824,0.318091
314,-0.394176,-0.0298852,0.0422388,0.309394
315,-0.398267,-0.0282271,0.0664639,0.302049
316,-0.441352,-0.0248951,0.0656288,0.308031
317,-0.441352,-0.0248951,0.0656288,0.308031
318,-0.441352,-0.0248951,0.0656288,0.308031
319,-0.431922,-0.0252445,0.0675032,0.307817
320,-0.431922,-0.0252445,0.0675032,0.307817
