MDTU,S_F
960,1.0005e-05
961,1.0005e-05
962,1.01153e-05
963,1.01153e-05
964,1.02149e-05
965,1.01501e-05
966,1.01189e-05
967,1.01189e-05
968,1.00623e-05
969,1.00251e-05
970,9.97751e-06
971,9.97751e-06
972,9.97751e-06
973,9.98297e-06
974,9.99516e-06
975,9.93652e-06
976,9.96468e-06
977,9.96468e-06
978,1.00687e-05
979,1.00687e-05
980,1.00921e-05
981,1.00331e-05
982,1.00331e-05
983,1.00331e-05
984,1.00388e-05
985,1.01366e-05
986,1.01591e-05
987,1.02034e-05
988,1.02034e-05
989,1.02943e-05
990,1.02943e-05
991,1.02943e-05
992,1.02878e-05
993,1.02943e-05
994,1.02485e-05
995,1.02485e-05
996,1.02485e-05
997,1.02521e-05
998,1.02293e-05
999,1.02293e-05
1000,1.02349e-05
1001,1.0156e-05
1002,1.02285e-05
1003,1.02623e-05
1004,1.04562e-05
1005,1.03601e-05
1006,1.03601e-05
1007,1.0245e-05
1008,1.03443e-05
1009,1.02019e-05
1010,1.02019e-05
1011,1.02495e-05
1012,1.03393e-05
1013,1.02588e-05
1014,1.02588e-05
1015,1.02588e-05
1016,1.02588e-05
1017,1.02588e-05
1018,1.02588e-05
1019,1.02588e-05
1020,1.03626e-05
1021,1.03764e-05
1022,1.04098e-05
1023,1.03869e-05
1024,1.03761e-05
1025,1.04111e-05
1026,1.06603e-05
1027,1.06447e-05
1028,1.04984e-05
1029,1.04864e-05
1030,1.04848e-05
1031,1.03885e-05
1032,1.02451e-05
1033,1.02451e-05
1034,1.02451e-05
1035,1.03109e-05
1036,1.02893e-05
1037,1.03236e-05
1038,1.03098e-05
1039,1.03098e-05
1040,1.03098e-05
1041,1.02954e-05
1042,1.02954e-05
1043,1.02954e-05
1044,1.02759e-05
1045,1.02759e-05
1046,1.0199e-05
1047,1.02572e-05
1048,1.02593e-05
1049,1.02361e-05
1050,1.02792e-05
1051,1.02531e-05
1052,1.02341e-05
1053,1.01173e-05
1054,1.02558e-05
1055,1.02558e-05
1056,1.01479e-05
1057,1.02458e-05
1058,1.02297e-05
1059,1.02297e-05
1060,1.02466e-05
1061,1.02568e-05
1062,1.01866e-05
1063,1.02709e-05
1064,1.02709e-05
1065,1.02255e-05
1066,1.02374e-05
1067,1.02161e-05
1068,1.02852e-05
1069,1.02852e-05
1070,1.02852e-05
1071,1.01281e-05
1072,1.01918e-05
1073,1.00113e-05
1074,1.01937e-05
1075,1.02624e-05
1076,1.02358e-05
1077,1.02358e-05
1078,1.0223e-05
1079,1.0223e-05
1080,1.02987e-05
1081,1.03299e-05
1082,1.03844e-05
1083,1.03844e-05
1084,1.04221e-05
1085,1.03946e-05
1086,1.03754e-05
1087,1.03754e-05
1088,1.05096e-05
1089,1.05096e-05
1090,1.0411e-05
1091,1.0411e-05
1092,1.02371e-05
1093,1.01578e-05
1094,1.00868e-05
1095,1.00211e-05
1096,1.0109e-05
1097,9.93834e-06
1098,9.95023e-06
1099,1.00304e-05
1100,1.00529e-05
1101,9.98159e-06
1102,9.98258e-06
1103,1.01332e-05
1104,1.01246e-05
1105,1.01246e-05
1106,1.00563e-05
1107,1.00563e-05
1108,9.98209e-06
1109,9.98867e-06
1110,9.98867e-06
1111,9.98542e-06
1112,9.98575e-06
1113,9.98575e-06
1114,1.00248e-05
1115,9.98248e-06
1116,1.00818e-05
