MDTU,link
1023,1.00625
1024,1.00633
1025,1.00633
1026,1.00633
1027,1.00667
1028,1.00774
1029,1.00816
1030,1.00761
1031,1.00761
1032,1.00761
1033,1.00761
1034,1.00761
1035,1.00759
1036,1.00762
1037,1.00762
1038,1.00607
1039,1.00812
1040,1.00789
1041,1.00753
1042,1.00805
1043,1.00972
1044,1.00841
1045,1.0095
1046,1.01038
1047,1.01038
1048,1.00982
1049,1.00935
1050,1.00861
1051,1.00861
1052,1.01044
1053,1.01044
1054,1.00923
1055,1.00923
1056,1.00923
1057,1.00787
1058,1.00787
1059,1.0083
1060,1.00838
1061,1.00616
1062,1.00616
1063,1.00703
1064,1.00703
1065,1.00703
1066,1.00703
1067,1.00642
1068,1.00585
1069,1.00595
1070,1.00616
1071,1.00616
1072,1.00616
1073,1.00616
1074,1.00666
1075,1.00666
1076,1.00666
1077,1.00715
1078,1.00715
1079,1.00715
1080,1.00715
1081,1.00708
1082,1.00708
1083,1.00774
1084,1.00774
1085,1.00774
1086,1.00793
1087,1.00761
1088,1.00795
1089,1.00795
1090,1.00795
1091,1.00795
1092,1.0073
1093,1.00742
1094,1.008
1095,1.00662
1096,1.00662
1097,1.00662
1098,1.00768
1099,1.00603
1100,1.00602
1101,1.00599
1102,1.00777
1103,1.00819
1104,1.00731
1105,1.00663
1106,1.00579
1107,1.0058
1108,1.0058
1109,1.0058
1110,1.0058
1111,1.00634
1112,1.00744
1113,1.00739
1114,1.00739
1115,1.00739
1116,1.0082
1117,1.00739
1118,1.0074
1119,1.0074
1120,1.0074
1121,1.0074
1122,1.00625
1123,1.00537
1124,1.00487
1125,1.00487
1126,1.00356
1127,1.00356
1128,1.00539
1129,1.00497
1130,1.00497
1131,1.00483
1132,1.00483
1133,1.00399
1134,1.00399
1135,1.00399
1136,1.00411
1137,1.00397
1138,1.00475
1139,1.00332
1140,1.00349
1141,1.00434
1142,1.0056
1143,1.0056
1144,1.00768
1145,1.00709
1146,1.0063
1147,1.00415
1148,1.00415
1149,1.00415
1150,1.00516
1151,1.00439
1152,1.00439
1153,1.00533
1154,1.00583
1155,1.00583
1156,1.00583
1157,1.00742
1158,1.00785
1159,1.00779
1160,1.00779
1161,1.00695
1162,1.00764
1163,1.00764
1164,1.00773
1165,1.00854
1166,1.00854
1167,1.00874
1168,1.00823
1169,1.00684
1170,1.00847
1171,1.00611
1172,1.00662
1173,1.00809
1174,1.00989
1175,1.00953
1176,1.00998
1177,1.00998
1178,1.01053
1179,1.01278
1180,1.01214
1181,1.01214
1182,1.01214
1183,1.01115
1184,1.00861
1185,1.00861
1186,1.00843
1187,1.01053
1188,1.01059
1189,1.01059
1190,1.01059
1191,1.01068
1192,1.00985
1193,1.01104
1194,1.01104
1195,1.01104
1196,1.01104
1197,1.01104
1198,1.01092
1199,1.01115
1200,1.01079
1201,1.01079
1202,1.01079
1203,1.01013
1204,1.01023
1205,1.01023
1206,1.01023
1207,1.01023
1208,1.01023
1209,1.009
1210,1.00964
1211,1.00758
1212,1.00894
1213,1.00894
1214,1.00883
1215,1.00883
1216,1.00883
1217,1.00935
1218,1.00935
1219,1.00935
1220,1.01154
1221,1.01154
1222,1.01109
1223,1.01078
1224,1.01051
1225,1.01158
1226,1.01227
1227,1.01213
1228,1.01215
1229,1.01128
1230,1.01199
1231,1.01065
1232,1.00928
1233,1.00802
1234,1.00802
1235,1.00976
1236,1.00974
1237,1.01049
1238,1.01049
1239,1.0093
1240,1.0093
1241,1.01099
1242,1.01099
1243,1.01099
1244,1.00916
1245,1.00916
1246,1.00916
1247,1.00901
1248,1.00901
1249,1.00901
1250,1.00901
1251,1.00901
1252,1.00901
1253,1.01047
1254,1.0093
1255,1.0093
1256,1.0093
1257,1.00934
1258,1.01016
1259,1.01038
1260,1.01038
1261,1.01242
1262,1.01242
1263,1.01276
1264,1.01212
1265,1.01253
1266,1.01228
1267,1.01275
1268,1.01195
1269,1.01063
1270,1.01063
1271,1.01
1272,1.00978
1273,1.01016
1274,1.01016
1275,1.01138
1276,1.00945
1277,1.01051
1278,1.01013
1279,1.01013
1280,1.00992
1281,1.01001
1282,1.01001
1283,1.01068
1284,1.01009
1285,1.00985
1286,1.00874
1287,1.01019
1288,1.00845
1289,1.00961
1290,1.01062
1291,1.01062
1292,1.01062
1293,1.0105
1294,1.0105
1295,1.01009
1296,1.01009
1297,1.01009
1298,1.01047
1299,1.00871
1300,1.01099
1301,1.0114
1302,1.01083
1303,1.00978
1304,1.00984
1305,1.0084
1306,1.0084
1307,1.0084
1308,1.00831
1309,1.00655
1310,1.00655
1311,1.00655
1312,1.00682
1313,1.00783
1314,1.008
1315,1.0078
1316,1.0078
1317,1.00723
1318,1.00675
1319,1.00675
1320,1.00631
1321,1.00739
1322,1.00865
1323,1.00865
1324,1.00754
1325,1.00737
1326,1.00737
1327,1.00737
1328,1.00953
1329,1.00953
1330,1.01061
1331,1.01061
1332,1.01061
1333,1.01082
1334,1.00995
1335,1.00984
1336,1.0101
1337,1.01146
1338,1.01127
1339,1.01157
1340,1.01247
1341,1.01123
1342,1.01214
1343,1.01214
1344,1.01214
1345,1.01181
1346,1.01063
1347,1.01063
1348,1.01063
1349,1.01012
1350,1.01158
1351,1.01158
1352,1.01049
1353,1.01049
1354,1.00746
1355,1.00746
1356,1.00996
1357,1.00915
1358,1.00661
1359,1.00661
1360,1.0098
1361,1.00888
1362,1.00888
1363,1.00888
1364,1.00933
1365,1.01089
1366,1.01262
1367,1.01211
1368,1.01211
1369,1.01244
1370,1.01278
1371,1.01445
1372,1.01296
1373,1.01178
1374,1.01227
1375,1.01227
1376,1.01196
1377,1.01196
1378,1.01196
1379,1.01192
1380,1.0113
1381,1.0113
1382,1.01129
1383,1.01129
1384,1.01255
1385,1.01159
1386,1.01159
1387,1.01102
1388,1.01114
1389,1.0123
1390,1.01157
1391,1.01157
1392,1.01282
1393,1.012
1394,1.01343
1395,1.01416
1396,1.01416
1397,1.01416
1398,1.01296
1399,1.01296
1400,1.01183
1401,1.0121
1402,1.01391
1403,1.01501
1404,1.01527
1405,1.01375
1406,1.01429
1407,1.01622
1408,1.01629
1409,1.01629
1410,1.01605
1411,1.015
1412,1.01737
1413,1.01693
1414,1.01756
1415,1.01893
1416,1.01893
1417,1.01893
1418,1.01893
1419,1.01893
1420,1.01836
1421,1.01836
1422,1.01836
1423,1.01861
1424,1.01789
1425,1.01788
1426,1.01788
1427,1.01681
1428,1.01713
1429,1.0184
1430,1.01739
1431,1.01627
1432,1.01761
1433,1.0182
1434,1.0182
1435,1.01826
1436,1.01797
1437,1.01797
1438,1.01797
1439,1.01813
1440,1.01798
1441,1.01798
1442,1.01798
1443,1.01909
1444,1.01935
1445,1.01926
1446,1.01998
1447,1.01998
1448,1.01904
1449,1.01891
1450,1.01833
1451,1.01736
1452,1.01681
1453,1.01733
1454,1.01733
1455,1.01748
1456,1.01626
1457,1.0169
1458,1.0169
1459,1.0161
1460,1.01691
1461,1.01691
1462,1.01835
1463,1.01645
1464,1.01705
1465,1.01705
1466,1.01732
1467,1.01911
1468,1.01813
1469,1.01916
1470,1.01864
1471,1.01882
1472,1.01779
1473,1.01762
1474,1.01762
1475,1.01762
1476,1.01777
1477,1.01773
1478,1.01789
1479,1.01684
1480,1.01839
1481,1.0189
1482,1.02088
1483,1.02071
1484,1.02241
1485,1.022
1486,1.02191
1487,1.02014
1488,1.01941
1489,1.02007
1490,1.01896
1491,1.01896
1492,1.01921
1493,1.0161
1494,1.0161
1495,1.01505
1496,1.01586
1497,1.01684
1498,1.01577
1499,1.01604
1500,1.01594
1501,1.01594
1502,1.0149
1503,1.01386
1504,1.01386
1505,1.01481
1506,1.0143
1507,1.01447
1508,1.01447
1509,1.01394
1510,1.01394
1511,1.01394
1512,1.01394
1513,1.01413
1514,1.01413
1515,1.01546
1516,1.01726
1517,1.01779
1518,1.01715
1519,1.01715
1520,1.01715
1521,1.0165
1522,1.01562
1523,1.01492
1524,1.01442
1525,1.01497
1526,1.01497
1527,1.01597
1528,1.01731
1529,1.0165
1530,1.01689
1531,1.01574
1532,1.01574
1533,1.01574
1534,1.01722
1535,1.01722
1536,1.01739
1537,1.01761
1538,1.01742
1539,1.01742
1540,1.01601
1541,1.01601
1542,1.0152
1543,1.0152
1544,1.01503
1545,1.01527
1546,1.01579
1547,1.01567
1548,1.01567
1549,1.01567
1550,1.01567
1551,1.01567
1552,1.01567
1553,1.01567
1554,1.01598
1555,1.01598
1556,1.01598
1557,1.01598
1558,1.01682
1559,1.01779
1560,1.01786
1561,1.0177
1562,1.01752
1563,1.01569
1564,1.01569
1565,1.01898
1566,1.01898
1567,1.01898
1568,1.01831
1569,1.01758
1570,1.01705
1571,1.01885
1572,1.01691
1573,1.01648
1574,1.01627
1575,1.01716
1576,1.01739
1577,1.01739
1578,1.01804
1579,1.01733
1580,1.01585
1581,1.01585
1582,1.01585
1583,1.01866
1584,1.01787
1585,1.01787
1586,1.01808
1587,1.01742
1588,1.0199
1589,1.0195
1590,1.0205
1591,1.0205
1592,1.02
1593,1.01975
1594,1.01989
1595,1.01989
1596,1.01989
1597,1.01989
1598,1.02176
1599,1.02153
1600,1.02142
1601,1.02102
1602,1.02035
1603,1.02002
1604,1.02002
1605,1.02085
1606,1.02085
1607,1.02129
1608,1.02124
1609,1.02124
1610,1.02143
1611,1.02198
1612,1.02294
1613,1.02099
1614,1.01825
1615,1.01931
1616,1.01931
1617,1.01843
1618,1.01843
1619,1.01779
1620,1.01779
1621,1.01813
1622,1.01757
1623,1.01887
1624,1.01887
1625,1.01696
1626,1.01696
1627,1.01781
1628,1.01751
1629,1.01747
1630,1.01747
1631,1.01747
1632,1.01632
1633,1.01632
1634,1.01622
1635,1.01722
1636,1.01899
1637,1.01601
1638,1.01498
1639,1.01468
1640,1.01669
1641,1.01603
1642,1.01477
1643,1.01413
1644,1.01413
1645,1.01518
1646,1.01423
1647,1.01184
1648,1.01334
1649,1.01334
1650,1.01334
1651,1.0117
1652,1.0117
1653,1.0117
1654,1.01227
1655,1.01214
1656,1.01301
1657,1.01276
1658,1.01276
1659,1.01369
1660,1.01239
1661,1.01366
1662,1.01311
1663,1.01311
1664,1.01271
1665,1.01392
1666,1.01261
1667,1.01244
1668,1.01293
1669,1.01195
1670,1.01195
1671,1.01195
1672,1.0126
1673,1.0126
1674,1.0131
1675,1.0131
1676,1.0131
1677,1.01165
1678,1.01315
1679,1.01315
1680,1.01436
1681,1.01477
1682,1.0165
1683,1.0165
1684,1.0165
1685,1.01688
1686,1.01672
1687,1.01672
1688,1.01544
1689,1.0159
1690,1.0159
1691,1.01673
1692,1.01673
1693,1.01738
1694,1.01762
1695,1.01711
1696,1.01711
1697,1.01711
1698,1.01711
1699,1.01711
1700,1.01751
1701,1.01751
1702,1.01654
1703,1.01755
1704,1.01647
1705,1.01647
1706,1.01634
1707,1.01634
1708,1.01634
1709,1.01406
1710,1.01771
1711,1.01612
1712,1.01612
1713,1.01636
1714,1.01663
1715,1.01616
1716,1.01593
1717,1.01593
1718,1.01593
1719,1.01676
1720,1.01711
1721,1.01711
1722,1.01711
1723,1.01663
1724,1.01663
1725,1.01663
1726,1.01663
1727,1.01515
1728,1.01507
1729,1.01507
1730,1.01652
1731,1.01722
1732,1.01722
1733,1.01641
1734,1.01672
1735,1.0154
1736,1.0154
1737,1.01585
1738,1.01504
1739,1.01482
1740,1.01482
1741,1.01476
1742,1.01509
1743,1.01296
1744,1.01296
1745,1.01296
1746,1.01433
1747,1.01321
1748,1.01231
1749,1.01231
1750,1.01297
1751,1.01297
1752,1.01469
1753,1.01497
1754,1.01458
1755,1.01533
1756,1.01533
1757,1.0164
1758,1.01631
1759,1.01504
1760,1.01521
1761,1.01521
1762,1.01521
1763,1.01533
1764,1.01511
1765,1.01539
1766,1.01539
1767,1.01539
1768,1.0151
1769,1.01581
1770,1.01581
1771,1.01762
1772,1.01692
1773,1.01771
1774,1.01672
1775,1.01498
1776,1.01498
1777,1.01353
1778,1.01481
1779,1.01636
1780,1.01528
1781,1.0143
1782,1.0143
1783,1.01487
1784,1.01434
1785,1.01541
1786,1.01541
1787,1.01541
1788,1.01637
1789,1.01619
1790,1.01619
1791,1.01555
1792,1.01589
1793,1.01622
1794,1.01622
1795,1.01622
1796,1.01622
1797,1.01565
1798,1.01482
1799,1.01565
1800,1.01572
1801,1.01491
1802,1.01491
1803,1.01637
1804,1.01544
1805,1.0176
1806,1.01886
1807,1.01818
1808,1.01918
1809,1.02098
1810,1.02098
1811,1.02098
1812,1.02125
1813,1.01859
1814,1.01859
1815,1.01999
1816,1.01941
1817,1.01941
1818,1.01941
1819,1.01958
1820,1.01984
