MDTU,|Tr(Lx)|,|Tr(Ly)|,|Tr(Lz)|,|Tr(L5)|
304,0.992878,0.192538,0.323862,0.00498471
305,0.992878,0.192538,0.323862,0.00498471
306,0.992767,0.154725,0.298055,0.00509488
307,0.992855,0.143333,0.340102,0.00352635
308,0.993034,0.169358,0.359363,0.000384861
309,0.992937,0.179066,0.354251,0.00224787
310,0.992996,0.205066,0.380723,0.00457145
311,0.992996,0.205066,0.380723,0.00457145
312,0.99287,0.219007,0.37559,0.00611863
313,0.992889,0.223312,0.382463,0.00281966
314,0.992887,0.222003,0.458667,0.00112587
315,0.992887,0.222003,0.458667,0.00112587
316,0.992887,0.222003,0.458667,0.00112587
317,0.992969,0.242746,0.357204,0.00534365
318,0.992969,0.242746,0.357204,0.00534365
319,0.992969,0.242746,0.357204,0.00534365
320,0.992869,0.222592,0.34138,0.00627839
321,0.992827,0.297495,0.358486,0.00240873
322,0.992827,0.297495,0.358486,0.00240873
323,0.992827,0.297495,0.358486,0.00240873
324,0.992815,0.261588,0.352778,0.00649111
325,0.992815,0.261588,0.352778,0.00649111
326,0.992701,0.267861,0.375923,0.00579058
327,0.99277,0.242224,0.371362,0.00115083
328,0.992726,0.261927,0.365063,0.00443696
329,0.992807,0.254712,0.352946,0.0025722
330,0.992775,0.323954,0.369669,0.00443394
331,0.992819,0.330916,0.430363,0.00473533
332,0.992806,0.302732,0.397254,0.00227859
333,0.992758,0.319881,0.413506,0.000468716
334,0.992758,0.319881,0.413506,0.000468716
335,0.992776,0.302914,0.440769,0.00462721
336,0.992862,0.345171,0.405259,0.00371912
337,0.992862,0.345171,0.405259,0.00371912
338,0.992901,0.403045,0.354018,0.000879525
339,0.992828,0.318209,0.362229,0.00589852
340,0.992828,0.318209,0.362229,0.00589852
341,0.992652,0.363119,0.367778,0.00433329
342,0.992767,0.354123,0.347675,0.00513925
343,0.992698,0.336105,0.405679,0.00412637
344,0.992673,0.313649,0.371765,0.00209227
345,0.992722,0.28734,0.335222,0.00175216
346,0.992697,0.251128,0.373586,0.000538806
347,0.992697,0.251128,0.373586,0.000538806
348,0.992637,0.268269,0.383671,0.00407862
349,0.992739,0.272417,0.340026,0.000420089
350,0.992739,0.272417,0.340026,0.000420089
351,0.992769,0.277631,0.339333,0.00208858
352,0.992769,0.277631,0.339333,0.00208858
353,0.992769,0.277631,0.339333,0.00208858
354,0.992786,0.269403,0.289479,0.00528784
355,0.992738,0.30467,0.322189,0.00528965
356,0.992662,0.352636,0.234697,0.00233281
357,0.992707,0.361788,0.19556,0.00711247
358,0.992594,0.327933,0.241193,0.00563911
359,0.992626,0.330001,0.201826,0.00109776
360,0.992626,0.330001,0.201826,0.00109776
361,0.992626,0.330001,0.201826,0.00109776
362,0.992626,0.330001,0.201826,0.00109776
363,0.992626,0.330001,0.201826,0.00109776
364,0.992712,0.320056,0.240491,0.00127407
365,0.992765,0.296295,0.277222,0.00227142
366,0.992645,0.281665,0.329021,0.00323332
367,0.992568,0.278169,0.303861,0.0015701
368,0.992642,0.255847,0.311199,0.00164368
369,0.992721,0.305524,0.308876,0.00375756
370,0.992766,0.273239,0.268452,0.00460688
371,0.992831,0.290087,0.32408,0.00256896
372,0.992831,0.290087,0.32408,0.00256896
373,0.992831,0.290087,0.32408,0.00256896
374,0.992831,0.290087,0.32408,0.00256896
375,0.992831,0.290087,0.32408,0.00256896
376,0.992831,0.290087,0.32408,0.00256896
377,0.992775,0.317464,0.359894,0.00316808
378,0.992844,0.325108,0.35908,0.00494328
379,0.992816,0.346994,0.334011,0.00222422
380,0.992816,0.33317,0.367333,0.00673253
381,0.992816,0.33317,0.367333,0.00673253
382,0.992863,0.347614,0.362217,0.00208119
383,0.992902,0.354618,0.390571,0.00536212
384,0.992902,0.354618,0.390571,0.00536212
385,0.992825,0.387098,0.398396,0.00495073
386,0.992841,0.371288,0.363436,0.00342311
387,0.992955,0.406516,0.3708,0.000658521
388,0.9929,0.393152,0.378994,0.00467589
389,0.99289,0.399533,0.400578,0.00965352
390,0.992904,0.358594,0.314125,0.00591249
391,0.992904,0.358594,0.314125,0.00591249
392,0.992904,0.358594,0.314125,0.00591249
393,0.992986,0.36234,0.330966,0.00259901
394,0.992986,0.36234,0.330966,0.00259901
395,0.992963,0.34342,0.275977,0.00229509
396,0.993053,0.33967,0.29638,0.00141666
397,0.993053,0.33967,0.29638,0.00141666
398,0.993053,0.33967,0.29638,0.00141666
399,0.993053,0.33967,0.29638,0.00141666
400,0.993169,0.336742,0.342532,0.00325324
401,0.993169,0.336742,0.342532,0.00325324
402,0.993169,0.336742,0.342532,0.00325324
403,0.993123,0.332994,0.355753,0.00153264
404,0.993083,0.360716,0.347528,0.00243044
405,0.993083,0.360716,0.347528,0.00243044
406,0.993032,0.343432,0.346358,0.00349535
407,0.993044,0.313207,0.321713,0.00501143
408,0.992884,0.371865,0.358421,0.00298809
409,0.992927,0.39154,0.353767,0.00274147
410,0.992868,0.404602,0.337171,0.00704071
411,0.992868,0.404602,0.337171,0.00704071
412,0.992839,0.424884,0.346825,0.00147228
413,0.992903,0.395576,0.327619,0.00535988
