MDTU,|det-1|^2,1-Re(det),Im(det)
355,0.32597,0.372798,0.000793344
356,0.298271,0.391604,-0.000261875
357,0.298741,0.375873,-4.41973e-05
358,0.306031,0.383595,-0.000355378
359,0.278199,0.377882,3.88445e-07
360,0.278199,0.377882,3.88445e-07
361,0.306767,0.40166,-0.000116517
362,0.316898,0.409096,0.000124085
363,0.318953,0.399345,-0.000274207
364,0.327645,0.399262,0.000346616
365,0.315416,0.342763,4.66067e-05
366,0.30965,0.350038,0.000479656
367,0.31886,0.382929,-0.00052715
368,0.322267,0.342135,3.01788e-05
369,0.316742,0.332545,9.85354e-06
370,0.317883,0.338158,-9.50166e-06
371,0.317883,0.338158,-9.5016e-06
372,0.317883,0.338158,-9.5016e-06
373,0.349233,0.351448,8.40951e-05
374,0.35177,0.3573,0.000124731
375,0.35177,0.3573,0.000124731
376,0.367751,0.335358,0.000252064
377,0.36352,0.359304,6.76216e-05
378,0.329618,0.362678,0.000138584
379,0.329618,0.362678,0.000138584
380,0.32744,0.33504,-7.82055e-06
381,0.335563,0.30766,0.000121189
382,0.337349,0.273292,0.000159498
383,0.337349,0.273292,0.000159498
384,0.364095,0.283164,0.000823022
385,0.347496,0.302026,0.000448859
386,0.346165,0.307141,0.000151313
387,0.353879,0.289992,0.000256507
388,0.377336,0.231906,0.00016009
389,0.377336,0.231906,0.00016009
390,0.377336,0.231906,0.00016009
391,0.340308,0.232602,0.000106027
392,0.329862,0.252681,-9.37718e-06
393,0.302358,0.279246,0.00034585
394,0.303895,0.337833,-0.000251373
395,0.300238,0.320308,-0.0006595
396,0.290096,0.330879,-0.000452019
397,0.290096,0.330879,-0.000452019
398,0.291663,0.350976,-0.000153791
399,0.306499,0.307158,-0.000177469
400,0.292325,0.280261,-0.000229715
401,0.292325,0.280261,-0.000229715
402,0.313057,0.251462,-0.000287071
403,0.289829,0.237287,-0.000247255
404,0.270098,0.217903,-7.79684e-05
405,0.270098,0.217903,-7.79684e-05
406,0.270098,0.217903,-7.79684e-05
407,0.288509,0.264909,-0.000601649
408,0.288743,0.282739,-0.000445266
409,0.269893,0.288407,-0.000157696
410,0.269893,0.288407,-0.000157696
411,0.269893,0.288407,-0.000157696
412,0.279788,0.270418,-0.000567846
413,0.279788,0.270418,-0.000567846
414,0.285054,0.253609,-0.000265109
415,0.27767,0.269651,-0.000136986
416,0.286866,0.258998,-0.000216204
417,0.286866,0.258998,-0.000216204
418,0.285881,0.316383,-7.22884e-05
419,0.266214,0.322473,-1.80558e-06
420,0.277325,0.348724,-3.05704e-07
421,0.287096,0.379401,-0.000169288
422,0.287096,0.379401,-0.000169288
423,0.292296,0.357503,-0.000159128
424,0.292296,0.357503,-0.000159128
425,0.303949,0.37857,-0.000321148
426,0.296023,0.354536,0.000275002
427,0.296023,0.354536,0.000275002
428,0.296023,0.354536,0.000275002
429,0.291443,0.354087,-4.36747e-05
430,0.291632,0.351699,0.000975001
431,0.292531,0.346643,4.17695e-05
432,0.294374,0.37188,-2.54367e-05
433,0.294374,0.37188,-2.54367e-05
434,0.294374,0.37188,-2.54367e-05
435,0.302501,0.395924,0.00012855
436,0.307278,0.406493,0.000150719
437,0.310016,0.369636,-0.00027654
438,0.310016,0.369636,-0.00027654
439,0.310016,0.369636,-0.00027654
440,0.310016,0.369636,-0.00027654
441,0.318752,0.380714,-0.000737561
442,0.302858,0.384379,0.000174599
