t,walltime
16660,4192
16670,4089
16680,3878
16690,3882
16700,4039
16710,4243
16720,4416
16730,4328
16740,4271
16750,4376
16760,4276
16770,4563
16780,4195
16790,4153
16800,4217
16810,4106
16820,4177
16830,4260
16840,4387
16850,4328
16860,3963
16870,3910
16880,3795
16890,3739
16900,3823
16910,4038
16920,4233
16930,4096
16940,4261
16950,4083
16960,4044
16970,4430
16980,4151
16990,3793
17000,3916
17010,4046
17020,4069
17030,4082
17040,4205
17050,4048
17060,4136
17070,4086
17080,4043
17090,4046
17100,4291
17110,4070
17120,3925
17130,4130
17140,4160
17150,4112
17160,4060
17170,4355
17180,4318
17190,4102
17200,4117
17210,4252
17220,4247
17230,4045
17240,4069
17250,4086
17260,4350
17270,4306
17280,4197
17290,4167
17300,4010
17310,3988
17320,3958
17330,3778
17340,3729
17350,3803
17360,3722
17370,4200
17380,4087
17390,4100
17400,4154
17410,4104
17420,3993
17430,3809
17440,3887
17450,4148
17460,4334
17470,4320
17480,4169
17490,4165
17500,3650
17510,3952
17520,4047
17530,3914
17540,3703
17550,3620
17560,3641
17570,3878
17580,3749
17590,3892
17600,3531
17610,3558
17620,4000
17630,3978
17640,3913
17650,3672
17660,3403
17670,3429
17680,3484
17690,3484
17700,3348
17710,3347
17720,3389
17730,3320
17740,3509
17750,3493
17760,3622
17770,3618
17780,3473
17790,3446
17800,3445
17810,3619
17820,3616
17830,3845
17840,3767
17850,3941
17860,3523
17870,3824
17880,3938
17890,4117
17900,3877
17910,3686
17920,3982
17930,3762
17940,3943
17950,3954
17960,3877
17970,3780
17980,3651
17990,3622
18000,3607
18010,3553
18020,3834
18030,4070
18040,3816
18050,3626
18060,3622
18070,3570
18080,3522
18090,3533
18100,3440
18110,3363
18120,3353
18130,3528
18140,3568
18150,3674
18160,3697
18170,3500
18180,3459
18190,3648
18200,3586
18210,3744
18220,3641
18230,3700
18240,3716
18250,3718
18260,3944
18270,3701
18280,3610
18290,3451
18300,4199
18310,3557
18320,3675
18330,3651
18340,3582
18350,3786
18360,3606
18370,3718
18380,3832
18390,3622
18400,3618
18410,3645
18420,3622
18430,3636
18440,3683
18450,3661
18460,3498
18470,3546
18480,3709
18490,3703
18500,3732
18510,3723
18520,3661
18530,3514
18540,3559
18550,3604
18560,3710
18570,3628
18580,3615
18590,3799
18600,3817
18610,3404
18620,3247
18630,3379
18640,3400
18650,3300
18660,3480
18670,3494
18680,3714
18690,3679
18700,3677
18710,3523
18720,3397
18730,3366
18740,3299
18750,3327
18760,3237
18770,3317
18780,3322
18790,3418
18800,3574
18810,3560
18820,3353
18830,3396
18840,3503
18850,3579
18860,3518
18870,3737
18880,3527
18890,3510
18900,3465
18910,3438
18920,3569
18930,3651
18940,3736
18950,3652
18960,3709
18970,3633
18980,3697
18990,3401
19000,3665
19010,3748
19020,3761
19030,3727
19040,3412
19050,3403
19060,3900
19070,3515
19080,3623
19090,3590
19100,3534
19110,3313
19120,3454
19130,3681
19140,3673
19150,3686
19160,3874
19170,3816
19180,3674
19190,3688
