t,|deltaS|
1618,0.004768
1619,0.2314
1620,0.2639
1621,0.8795
1622,0.4207
1623,1.132
1624,0.7203
1625,1.256
1626,0.04546
1627,0.1571
1628,0.6383
1629,0.7922
1630,0.9485
1631,0.2744
1632,0.1997
1633,0.2296
1634,0.4198
1635,1.294
1636,0.1892
1637,0.121
1638,0.33
1639,0.3247
1640,1.125
1641,0.7536
1642,0.8513
1643,1.704
1644,0.1488
1645,1.094
1646,0.17
1647,0.6941
1648,0.0341
1649,0.0169
1650,0.2815
1651,1.001
1652,0.04399
1653,0.05191
1654,0.1171
1655,0.233
1656,0.6129
1657,0.8708
1658,0.92
1659,0.05024
1660,0.1256
1661,0.355
1662,0.2688
1663,0.2332
1664,0.6511
1665,0.3053
1666,0.8867
1667,0.9179
1668,0.0417
1669,0.647
1670,0.23
1671,0.6537
1672,0.2186
1673,0.1703
1674,0.7049
1675,0.7775
1676,0.9844
1677,0.1852
1678,0.1331
1679,0.4617
1680,1.015
1681,0.7111
1682,0.3044
1683,0.2628
1684,0.4238
1685,0.01173
1686,0.00412
1687,0.56
1688,0.03872
1689,0.1271
1690,1.092
1691,0.2046
1692,0.06559
1693,0.9231
1694,0.1804
1695,0.5537
1696,0.4599
1697,0.5794
1698,0.7478
1699,0.6962
1700,0.09695
1701,1.167
1702,0.5499
1703,1.199
1704,0.5054
1705,0.3282
1706,1.203
1707,0.3624
1708,0.4996
1709,1.133
1710,0.2023
1711,0.2254
1712,0.004219
1713,0.2006
1714,0.1619
1715,0.1565
1716,0.7679
1717,0.09684
1718,0.611
1719,0.187
1720,0.275
1721,0.297
1722,0.692
1723,0.2965
1724,0.9856
1725,0.8427
1726,0.7702
1727,0.381
1728,0.1177
1729,0.1531
1730,0.3542
1731,0.08
1732,0.04931
1733,0.5982
1734,0.4113
1735,0.9517
1736,0.3262
1737,0.4302
1738,0.2706
1739,0.01142
1740,0.483
1741,0.429
1742,0.8025
1743,0.5003
1744,0.08455
1745,0.0698
1746,0.4959
1747,0.1097
1748,0.5709
1749,0.3184
1750,0.5518
1751,0.5635
1752,1.261
1753,0.2658
1754,0.1252
1755,0.5755
1756,0.4286
1757,0.3384
1758,0.7873
1759,0.1635
1760,0.5348
1761,1.276
1762,0.5701
1763,1.02
1764,0.09027
1765,0.4086
1766,0.2344
1767,0.2207
1768,0.4044
1769,0.6243
1770,0.6968
1771,0.02587
1772,0.04989
1773,0.5141
1774,0.5404
1775,0.5293
1776,0.9214
1777,0.3498
1778,0.1481
1779,0.6051
1780,0.6394
1781,0.7063
1782,0.3793
1783,0.4959
1784,0.3986
1785,0.04934
1786,0.1134
1787,0.2028
1788,1.452
1789,0.7089
1790,0.6126
1791,0.9948
1792,0.6935
1793,0.7014
1794,0.01639
1795,0.09477
1796,0.06854
1797,1.116
1798,0.4959
1799,0.6154
1800,0.9766
1801,0.3693
1802,0.5091
1803,0.3512
1804,0.809
1805,0.2014
1806,1.04
1807,0.423
1808,0.3033
1809,0.9792
1810,0.2926
1811,0.695
1812,0.7694
1813,0.7686
1814,0.3512
1815,0.08368
1816,0.2896
1817,0.5137
1818,0.8807
1819,0.1449
1820,0.6408
1821,1.497
1822,0.1118
1823,0.6061
1824,0.5682
1825,0.2249
1826,0.1631
1827,0.159
1828,0.2476
1829,0.1381
1830,0.08032
1831,1.111
1832,0.04294
1833,0.2027
1834,0.7625
1835,0.345
1836,1.035
1837,1.28
1838,0.3693
1839,0.3358
1840,0.007695
1841,0.9153
1842,0.04616
1843,1.579
1844,0.4951
1845,0.09545
1846,0.09627
1847,0.4283
1848,1.249
1849,1.063
1850,0.02154
1851,0.621
1852,0.5683
1853,0.5085
1854,0.4404
1855,0.6569
1856,0.3756
1857,1.331
1858,0.06324
1859,0.4361
1860,0.5936
1861,0.6861
1862,0.06101
1863,0.1064
1864,0.6124
1865,0.2948
1866,1.384
1867,0.5776
1868,0.2934
1869,0.7562
1870,0.02092
1871,0.6146
1872,0.2681
1873,0.7957
1874,0.3247
1875,0.5769
1876,0.0003839
1877,0.8136
1878,0.7486
1879,0.1475
1880,0.4794
1881,0.2606
1882,0.5491
1883,0.3984
1884,0.6349
1885,0.4627
1886,0.4575
1887,0.07145
1888,0.5416
1889,0.07767
1890,0.202
1891,0.04057
1892,0.5648
1893,0.007673
1894,0.5636
1895,0.1924
1896,0.2148
1897,0.3707
1898,0.469
1899,0.9294
1900,1.202
1901,0.478
1902,0.1847
1903,0.6912
1904,0.07807
1905,1.258
1906,0.0254
1907,0.1498
1908,0.2377
1909,0.1486
1910,0.879
1911,0.424
1912,0.1329
1913,0.841
1914,1.117
1915,1.079
1916,0.5812
1917,0.0189
