MDTU,0,2,4,6,8,10
1640,33.3416,31.2831,30.4454,30.3948,30.1619,29.5403
1645,35.9272,31.1812,31.1166,30.8972,30.7455,30.1054
1650,32.9871,31.8449,29.7871,29.3933,29.3266,29.186
1655,33.8797,32.838,32.5464,31.4506,31.0252,30.4106
1660,32.752,32.2368,31.3441,30.3971,30.3651,29.6074
1665,37.0907,35.6884,33.876,33.5037,32.8899,31.6876
1670,32.7499,31.7072,30.8675,30.5211,29.6717,29.6148
1675,32.1113,31.2402,30.7558,30.7445,30.4022,30.2644
1680,33.4882,31.8647,30.7993,30.5679,30.1924,29.4061
1685,35.0125,34.1575,30.9297,30.2165,30.1076,29.7798
1690,34.8818,34.7457,32.2328,30.4683,30.3943,29.3842
1695,33.3668,30.594,30.1787,30.132,29.7672,29.3972
1700,30.7714,30.6727,30.1112,29.5556,29.044,29.0303
1705,34.4618,30.5212,30.4644,30.2205,29.8999,29.5604
1710,32.9361,32.8055,31.0931,30.7211,30.4989,29.8164
1715,34.2365,31.2102,31.1416,31.0845,29.6564,29.5899
1720,33.0691,32.7883,30.7723,30.5891,30.4685,30.118
1725,31.905,31.7434,30.9889,30.8697,30.3622,30.332
1730,32.1091,31.4875,30.2762,30.1439,30.0504,29.9606
1735,31.1668,30.8425,30.2433,29.9943,29.928,29.8622
1740,32.8586,32.728,32.5995,31.7824,31.6209,30.3183
1745,31.9703,31.1794,30.7669,30.6877,30.5056,29.9701
1750,32.9209,32.8581,30.8352,30.6418,30.1482,30.0036
1755,35.8837,31.6167,29.4742,29.3736,29.3262,29.2836
1760,38.8553,33.6576,32.8342,32.6459,31.308,31.2047
1765,33.2123,32.4631,32.1074,30.3965,29.8374,29.1303
1770,33.784,33.3014,33.2161,33.15,31.4462,30.6385
1775,36.0964,33.1676,32.9414,32.6595,30.1072,29.6073
1780,31.7974,30.559,30.4289,30.1758,29.7478,29.6213
1785,33.3229,32.1889,30.5482,29.7503,29.748,29.6024
1790,33.654,32.2777,31.9686,31.3347,31.1587,30.7636
1795,33.1607,29.5523,29.1916,28.8911,28.2906,28.2727
1800,31.5587,31.2181,31.1641,30.2381,30.1625,29.4616
1805,29.9572,29.925,29.2003,29.1948,28.6746,28.5444
1810,35.9144,35.6206,29.9951,29.3434,29.0914,28.9575
1820,33.4483,33.1776,30.8472,30.6605,29.9134,29.8925
1830,32.274,31.1423,30.6591,30.1623,30.0132,29.9285
1840,34.9821,32.3968,31.7201,30.0742,29.6267,29.4068
1850,35.1293,34.1043,31.2568,30.7955,30.442,29.9363
1860,30.6892,29.3854,29.3499,29.3036,29.2356,29.1972
1870,33.0471,32.9936,32.4058,31.8281,31.652,31.2207
1880,30.2973,30.0367,30.0059,29.0232,28.8787,28.871
1890,31.0901,30.4454,30.3945,29.9776,29.9512,29.8846
1900,39.8316,37.7145,31.1805,31.1392,29.766,29.393
1910,32.0505,31.9071,31.4295,30.232,29.5783,29.2553
1920,30.7466,29.3328,29.2565,29.1901,28.9444,28.9017
1930,36.9412,34.4239,31.7607,31.6257,31.188,30.8179
1940,41.7306,37.9534,37.3967,34.7605,34.7226,31.8148
1950,30.6606,30.5625,30.4253,30.3635,30.21,30.1205
1960,31.046,30.8676,30.6552,30.215,30.1903,30.0842
1970,45.4528,31.7665,30.0947,29.415,29.3159,29.2957
1980,32.5311,32.1112,31.6108,31.013,30.093,29.9471
1990,31.3913,29.7964,29.5119,29.4432,28.7632,28.6581
2000,43.8619,32.6227,32.2471,31.3016,30.7961,29.8894
2010,32.5791,31.245,31.0556,30.5765,30.5756,29.6395
2020,31.6508,30.8092,30.0983,29.0753,29.0178,28.9061
2030,33.3278,31.4019,31.3547,30.4334,29.9378,29.5528
2040,42.1302,33.1302,33.0032,32.9557,32.0031,30.7197
2050,42.3576,32.7103,32.1155,31.2697,30.6507,29.5596
2060,29.462,29.4502,29.22,29.1024,28.6872,28.5887
2070,32.7074,32.515,30.7188,30.1468,30.0265,29.9666
2080,31.0724,30.1152,29.9156,29.9061,29.5021,29.2227
2090,31.3405,31.2708,30.6273,30.1098,29.8467,29.8371
2100,29.5165,29.1567,28.9214,28.8142,28.6579,28.3473
2110,30.6937,29.254,29.0087,28.9631,28.6538,28.6387
2120,31.4461,30.9718,30.4986,30.3276,30.0323,29.3968
2130,32.033,30.5335,30.145,29.2862,29.2625,29.2384
2140,32.1541,30.6846,30.0501,29.9143,29.8326,29.2601
2150,32.269,30.2628,30.1822,29.7891,29.3034,29.0656
2160,32.6791,30.212,29.6838,29.1424,29.0111,28.9735
2170,34.3543,31.545,29.4927,29.3348,29.2191,29.1523
2180,33.2666,32.0432,31.5078,30.2756,29.6484,29.4866
2190,30.6318,29.9717,29.1339,29.1316,29.0806,29.0203
2200,34.5959,33.2819,31.2011,30.7202,29.9721,28.8825
2210,31.3292,31.0845,30.1197,30.0705,28.9596,28.8934
2220,30.7672,30.765,30.4143,30.2972,29.7245,29.6101
2230,38.0929,33.1807,30.4476,29.8861,29.2655,29.2371
2240,32.2853,31.9854,31.2402,30.7682,30.7556,30.7202
2250,37.1213,34.3202,32.9134,32.8388,31.7407,31.1791
2260,32.9745,31.4018,30.8452,30.2183,30.1375,30.0549
2270,34.7014,31.1431,30.3867,30.192,29.9039,29.8778
2280,40.3889,30.8499,30.1575,29.7477,29.2865,29.1829
2290,33.029,31.5865,30.3383,30.3361,29.5667,29.3775
2300,34.185,31.0057,30.9592,30.513,30.3662,30.0835
2310,35.2204,33.4809,32.5906,31.7174,31.7086,31.5442
2320,36.5505,35.0449,32.1861,30.8496,30.2264,29.9791
2330,31.2815,31.2213,31.1529,30.9599,30.5193,29.9284
2340,35.1839,32.1998,30.5491,29.5961,29.2566,29.1106
2350,31.8253,31.6805,31.2761,30.6151,30.3817,30.1842
2360,31.3973,29.7322,29.6325,29.3273,29.2496,29.2309
2370,33.1186,32.3328,30.2357,29.561,29.5158,29.4375
2380,33.8498,32.9145,32.3064,31.9668,30.1253,30.0076
2390,34.236,30.4207,30.2218,29.946,29.8328,29.7851
2400,32.7112,30.7283,30.1532,30.0405,29.6766,29.5159
2410,57.5655,39.6177,33.0397,32.3358,30.6413,30.4762
2420,35.7629,30.549,30.5186,30.0065,29.6908,29.5556
2430,35.8167,34.8009,33.204,32.9182,31.7438,30.4522
2440,33.0571,31.3037,30.515,30.192,29.731,29.4057
2450,37.7249,31.7666,31.4283,30.5053,30.32,30.1801
2460,36.3189,32.9606,30.7125,30.4346,30.3231,29.9535
2470,34.5691,33.6812,30.9335,30.4469,30.0402,29.2885
2480,39.7534,30.3311,30.0011,29.0187,28.8039,28.521
2490,30.569,29.2121,28.8333,28.7607,28.7238,28.7237
2500,31.571,31.3825,30.6674,30.4873,29.4318,29.3693
2510,30.9733,30.4015,29.8619,29.8313,29.2756,28.7734
2520,34.4812,33.8903,32.2578,30.9773,30.7302,30.3478
2530,32.0537,31.6128,30.3708,30.3189,29.4274,28.6543
2540,32.9609,29.9282,29.4967,28.9186,28.6236,28.281
2550,32.5798,31.0766,30.3955,30.1306,30.1202,29.538
2560,33.9527,30.8303,30.4695,30.2681,29.9487,29.7849
2570,31.3604,30.7279,29.7387,29.6052,29.4622,29.2524
2580,32.3539,32.192,31.2173,29.7142,29.4596,29.4058
2590,33.7641,32.4958,31.3868,30.7001,29.9753,29.9475
2600,31.0748,31.0634,30.4319,29.4877,28.8984,28.8954
2610,34.1266,32.7593,31.8023,30.6389,30.0333,29.1365
2620,30.8388,30.4419,30.3226,30.0646,29.9953,29.4712
2630,31.7548,31.6199,31.018,31.0159,30.7972,30.4198
2640,34.5475,30.5567,29.8771,29.6311,29.4651,28.7745
2650,31.8547,30.6176,30.3957,29.8814,29.677,29.2748
2660,31.7525,30.9479,30.7165,30.678,29.7263,29.548
2670,32.6942,31.173,30.6284,30.3961,30.3719,29.8629
2680,34.7413,32.6397,30.7661,30.7601,30.4201,30.1002
2690,32.9222,31.0666,30.7536,29.6367,29.5058,29.4254
2700,34.3089,33.5462,32.7085,32.3208,31.9482,31.5514
2710,32.0837,30.6745,30.5671,30.2598,29.9183,29.848
2720,32.485,29.6367,29.5884,29.2747,29.2118,29.0988
2730,37.0724,33.4786,32.2507,32.024,31.7591,31.4127
2740,31.2363,29.6713,29.4545,29.4503,29.1789,28.975
2750,41.0477,32.6577,31.4087,31.3452,31.0011,30.8404
2760,35.4174,33.7501,33.4294,33.2669,29.8103,29.7782
2770,34.5677,32.1079,30.8492,30.5914,29.7013,29.5024
2780,30.4979,30.2529,30.1999,30.1242,30.076,29.5886
2790,36.0181,33.5276,29.9964,29.5343,29.3548,29.1855
2800,35.3673,33.6924,30.8979,30.298,29.6622,29.6334
2810,34.1169,32.1452,31.1998,30.6004,29.9671,29.7345
2820,31.0396,29.8485,29.7516,29.4487,29.0632,28.61
2830,33.958,31.644,31.4639,30.9899,30.9241,30.0418
2840,33.7297,30.9837,30.6779,29.5566,29.4496,29.4291
2850,31.6805,31.1646,30.7334,30.5309,30.249,29.8712
2860,37.2278,32.0684,30.6807,30.0256,29.9524,29.8422
2870,34.8987,33.5608,32.521,30.3937,30.3665,30.2565
2880,36.3603,30.082,29.9746,29.7346,29.5464,29.3995
2890,33.7684,31.3718,30.7179,29.6118,29.148,29.1127
2900,30.4245,29.952,29.1768,28.9581,28.8888,28.7304
2910,35.2713,31.744,30.6998,30.1502,29.6217,29.4755
2920,36.8366,33.2111,31.1229,30.1747,30.0238,29.8796
2930,36.1995,35.9768,32.7263,32.3748,32.2917,32.0725
2940,33.6719,32.9718,30.5423,29.9674,29.966,29.9626
2950,32.7736,32.2892,30.5361,29.8674,29.5252,29.4844
2960,31.2346,30.1864,29.8126,29.7736,29.3262,29.3255
2970,31.6306,31.5269,30.9955,30.5478,30.4476,29.697
2980,31.6537,31.0418,30.2986,30.1388,30.0699,29.6348
2990,42.0387,33.0745,31.4159,31.3598,30.0876,29.4786
3000,31.8468,30.5271,30.4498,29.5627,29.4416,29.3919
3010,37.2591,31.7316,30.8437,30.3129,30.2295,29.9841
3020,31.8717,31.6899,31.4603,30.679,29.7702,29.7471
3030,32.1646,31.7175,31.1793,30.2598,29.6218,29.3322
3040,34.6972,34.6286,33.9229,31.918,31.1093,30.794
3050,32.0381,31.8553,31.2497,30.1051,30.0967,30.0056
3060,32.6531,32.2327,31.7919,30.8723,30.5566,30.0954
3070,30.8534,30.3279,29.9745,29.7407,29.5842,29.4605
3080,31.9294,30.86,30.4476,30.2295,30.0056,29.5983
3090,33.3474,33.2795,32.479,31.6575,30.9194,30.5722
3100,36.0441,29.5702,29.1565,29.147,29.0645,28.756
3110,36.8408,33.6818,31.1389,30.5488,30.483,29.5181
3120,35.0978,31.3474,31.0202,30.5737,30.1036,30.094
3130,36.68,34.7219,33.504,33.2249,31.9912,31.3149
3140,31.3271,31.1057,30.7266,29.6692,29.5737,29.331
3150,32.1093,30.4399,30.3133,30.3081,30.2802,29.9014
3160,35.9024,34.9282,34.3852,31.254,29.8797,29.7585
3170,32.6256,32.4729,31.307,30.8843,30.4994,30.4726
3180,32.3855,31.3269,31.0944,30.4546,30.4407,30.2302
3190,32.7132,30.8908,30.3958,29.8395,29.4675,29.3483
3200,32.0937,32.0632,31.976,31.1137,30.5623,30.5175
3210,39.0748,31.1928,30.3641,30.3442,29.8945,29.8124
3220,34.2092,31.7445,30.3936,30.2544,29.9597,29.6396
3230,35.4995,35.1847,34.9584,31.9813,31.5316,30.8189
3240,31.5573,29.9951,29.9811,29.9711,29.6556,29.4703
3250,31.575,31.2423,31.0231,30.9809,29.7372,29.6275
3260,31.765,31.5112,30.3169,30.2042,30.0812,30.0364
3270,30.6477,30.5195,30.5054,30.4876,30.1496,30.1468
3280,33.0678,32.8987,30.5998,30.0056,29.4155,28.789
3290,32.8618,31.2512,30.231,29.7016,29.4434,29.2082
3300,41.9628,31.1832,30.7151,30.4278,29.9803,29.8062
3310,32.9163,32.419,31.8347,30.6162,30.3022,30.1204
3320,35.878,30.2513,29.9525,29.7179,29.3372,29.2604
3330,32.6116,31.8933,30.267,30.1815,29.7519,29.3763
3340,31.3313,30.5978,30.3031,29.8902,29.6671,29.2909
3350,36.0165,31.6925,31.5591,30.7697,29.9125,29.7127
