ReTr(L*),ImTr(Lx),ImTr(Ly),ImTr(Lz),ImTr(L5)
0.661238,null,null,0.65922,null
0.00282918,null,null,null,-0.565362
0.94105,-0.661092,null,null,null
0.795033,null,-0.333705,null,null
0.703115,null,null,0.630297,null
-0.355828,null,null,null,-0.558135
0.94105,-0.661092,null,null,null
0.795033,null,-0.333705,null,null
0.703115,null,null,0.630297,null
-0.355828,null,null,null,-0.558135
0.99769,-0.606475,null,null,null
0.757105,null,-0.340212,null,null
0.672748,null,null,0.649737,null
-0.0181339,null,null,null,-0.535665
0.982485,-0.708865,null,null,null
0.7633,null,-0.376868,null,null
0.678127,null,null,0.612402,null
0.26732,null,null,null,-0.491837
0.982485,-0.708865,null,null,null
0.7633,null,-0.376868,null,null
0.678127,null,null,0.612402,null
0.26732,null,null,null,-0.491837
0.982485,-0.708865,null,null,null
0.7633,null,-0.376868,null,null
0.678127,null,null,0.612402,null
0.26732,null,null,null,-0.491837
0.920928,-0.632557,null,null,null
0.75478,null,-0.351085,null,null
0.694645,null,null,0.6423,null
0.0170458,null,null,null,-0.626167
0.962427,-0.619437,null,null,null
0.786643,null,-0.378725,null,null
0.677025,null,null,0.648105,null
-0.278402,null,null,null,-0.847495
0.964882,-0.617883,null,null,null
0.768848,null,-0.388553,null,null
0.680383,null,null,0.639785,null
0.114487,null,null,null,-0.50347
0.94902,-0.596897,null,null,null
0.757683,null,-0.375958,null,null
0.66978,null,null,0.628772,null
-0.158262,null,null,null,-0.645798
0.895643,-0.57034,null,null,null
0.76206,null,-0.341785,null,null
0.675497,null,null,0.63404,null
0.046929,null,null,null,-0.617568
0.895643,-0.57034,null,null,null
0.76206,null,-0.341785,null,null
0.675497,null,null,0.63404,null
0.046929,null,null,null,-0.617568
0.92659,-0.507308,null,null,null
0.781892,null,-0.315167,null,null
0.656757,null,null,0.59342,null
-0.0117007,null,null,null,-0.607245
0.911693,-0.52455,null,null,null
0.78215,null,-0.327933,null,null
0.70893,null,null,0.604962,null
0.0970633,null,null,null,-0.417565
0.913532,-0.51955,null,null,null
0.80477,null,-0.370435,null,null
0.667355,null,null,0.617753,null
0.0061718,null,null,null,-0.507935
0.913532,-0.51955,null,null,null
0.80477,null,-0.370435,null,null
0.667355,null,null,0.617753,null
0.0061718,null,null,null,-0.507935
0.985265,-0.578368,null,null,null
0.764305,null,-0.35446,null,null
0.683675,null,null,0.636273,null
-0.226449,null,null,null,-0.731352
1.00577,-0.555658,null,null,null
0.804403,null,-0.372457,null,null
0.723812,null,null,0.645338,null
-0.0758053,null,null,null,-0.913582
0.9644,-0.550878,null,null,null
0.780388,null,-0.365005,null,null
0.66907,null,null,0.57215,null
0.150596,null,null,null,-0.44818
0.9644,-0.550878,null,null,null
0.780388,null,-0.365005,null,null
0.66907,null,null,0.57215,null
0.150596,null,null,null,-0.44818
0.971228,-0.57859,null,null,null
0.84966,null,-0.373625,null,null
0.68509,null,null,0.57304,null
0.36557,null,null,null,-0.479573
0.98344,-0.60496,null,null,null
0.809695,null,-0.36273,null,null
0.72034,null,null,0.619885,null
0.194921,null,null,null,-0.526975
0.945322,-0.553175,null,null,null
0.863343,null,-0.385302,null,null
0.682735,null,null,0.607522,null
0.135402,null,null,null,-0.596603
0.945322,-0.553175,null,null,null
0.863343,null,-0.385302,null,null
0.682735,null,null,0.607522,null
0.135402,null,null,null,-0.596603
0.945322,-0.553175,null,null,null
0.863343,null,-0.385302,null,null
0.682735,null,null,0.607522,null
0.135402,null,null,null,-0.596603
0.945322,-0.553175,null,null,null
0.863343,null,-0.385302,null,null
0.682735,null,null,0.607522,null
0.135402,null,null,null,-0.596603
0.970208,-0.572923,null,null,null
0.840307,null,-0.376725,null,null
0.69906,null,null,0.650885,null
-0.0092663,null,null,null,-0.680057
0.965522,-0.509787,null,null,null
0.850518,null,-0.355708,null,null
0.69228,null,null,0.60735,null
-0.403228,null,null,null,-0.41365
0.95083,-0.467543,null,null,null
0.82239,null,-0.36979,null,null
0.683848,null,null,0.64623,null
0.0829513,null,null,null,-0.57437
0.917698,-0.515288,null,null,null
0.819275,null,-0.388997,null,null
0.662805,null,null,0.668722,null
-0.024949,null,null,null,-0.607143
0.960237,-0.493605,null,null,null
0.875178,null,-0.40879,null,null
