t,eps_f,eps_g
9110,0.04,0.005
9120,0.04,0.005
9130,0.04,0.005
9140,0.04,0.005
9150,0.04,0.005
9160,0.04,0.005
9170,0.04,0.005
9180,0.04,0.005
9190,0.04,0.005
9200,0.04,0.005
9210,0.04,0.005
9220,0.04,0.005
9230,0.04,0.005
9240,0.04,0.005
9250,0.04,0.005
9260,0.04,0.005
9270,0.04,0.005
9280,0.04,0.005
9290,0.04,0.005
9300,0.04,0.005
9310,0.04,0.005
9320,0.04,0.005
9330,0.04,0.005
9340,0.04,0.005
9350,0.04,0.005
9360,0.04,0.005
9370,0.04,0.005
9380,0.04,0.005
9390,0.04,0.005
9400,0.04,0.005
9410,0.04,0.005
9420,0.04,0.005
9430,0.04,0.005
9440,0.04,0.005
9450,0.04,0.005
9460,0.04,0.005
9470,0.04,0.005
9480,0.04,0.005
9490,0.04,0.005
9500,0.04,0.005
9510,0.04,0.005
9520,0.04,0.005
9530,0.04,0.005
9540,0.04,0.005
9550,0.04,0.005
9560,0.04,0.005
9570,0.04,0.005
9580,0.04,0.005
9590,0.04,0.005
9600,0.04,0.005
9610,0.04,0.005
9620,0.04,0.005
9630,0.04,0.005
9640,0.04,0.005
9650,0.04,0.005
9660,0.04,0.005
9670,0.04,0.005
9680,0.04,0.005
9690,0.04,0.005
9700,0.04,0.005
9710,0.04,0.005
9720,0.04,0.005
9730,0.04,0.005
9740,0.04,0.005
9750,0.04,0.005
9760,0.04,0.005
9770,0.04,0.005
9780,0.04,0.005
9790,0.04,0.005
9800,0.04,0.005
9810,0.04,0.005
9820,0.04,0.005
9830,0.04,0.005
9840,0.04,0.005
9850,0.04,0.005
9860,0.04,0.005
9870,0.04,0.005
9880,0.04,0.005
9890,0.04,0.005
9900,0.04,0.005
9910,0.04,0.005
9920,0.04,0.005
9930,0.04,0.005
9940,0.04,0.005
9950,0.04,0.005
9960,0.04,0.005
9970,0.04,0.005
9980,0.04,0.005
9990,0.04,0.005
10000,0.04,0.005
10010,0.04,0.005
10020,0.04,0.005
10030,0.04,0.005
10040,0.04,0.005
10050,0.04,0.005
10060,0.04,0.005
10070,0.04,0.005
10080,0.04,0.005
10090,0.04,0.005
10100,0.04,0.005
10110,0.04,0.005
10120,0.04,0.005
10130,0.04,0.005
10140,0.04,0.005
10150,0.04,0.005
10160,0.04,0.005
10170,0.04,0.005
10180,0.04,0.005
10190,0.04,0.005
10200,0.04,0.005
10210,0.04,0.005
10220,0.04,0.005
10230,0.04,0.005
10240,0.04,0.005
10250,0.04,0.005
10260,0.04,0.005
10270,0.04,0.005
10280,0.04,0.005
10290,0.04,0.005
10300,0.04,0.005
10310,0.04,0.005
10320,0.04,0.005
10330,0.04,0.005
10340,0.04,0.005
10350,0.04,0.005
10360,0.04,0.005
10370,0.04,0.005
10380,0.04,0.005
10390,0.04,0.005
10400,0.04,0.005
10410,0.04,0.005
10420,0.04,0.005
10430,0.04,0.005
10440,0.04,0.005
10450,0.04,0.005
10460,0.04,0.005
10470,0.04,0.005
10480,0.04,0.005
10490,0.04,0.005
10500,0.04,0.005
10510,0.04,0.005
10520,0.04,0.005
10530,0.04,0.005
10540,0.04,0.005
10550,0.04,0.005
10560,0.04,0.005
10570,0.04,0.005
10580,0.04,0.005
10590,0.04,0.005
10600,0.04,0.005
10610,0.04,0.005
10620,0.04,0.005
10630,0.04,0.005
10640,0.04,0.005
10650,0.04,0.005
10660,0.04,0.005
10670,0.04,0.005
10680,0.04,0.005
10690,0.04,0.005
10700,0.04,0.005
10710,0.04,0.005
10720,0.04,0.005
10730,0.04,0.005
10740,0.04,0.005
10750,0.04,0.005
10760,0.04,0.005
10770,0.04,0.005
10780,0.04,0.005
10790,0.04,0.005
10800,0.04,0.005
10810,0.04,0.005
10820,0.04,0.005
10830,0.04,0.005
10840,0.04,0.005
10850,0.04,0.005
10860,0.04,0.005
10870,0.04,0.005
10880,0.04,0.005
10890,0.04,0.005
10900,0.04,0.005
10910,0.04,0.005
10920,0.04,0.005
10930,0.04,0.005
10940,0.04,0.005
10950,0.04,0.005
10960,0.04,0.005
10970,0.04,0.005
10980,0.04,0.005
10990,0.04,0.005
11000,0.04,0.005
11010,0.04,0.005
11020,0.04,0.005
11030,0.04,0.005
11040,0.04,0.005
11050,0.04,0.005
11060,0.04,0.005
11070,0.04,0.005
11080,0.04,0.005
11090,0.04,0.005
11100,0.04,0.005
11110,0.04,0.005
11120,0.04,0.005
11130,0.04,0.005
11140,0.04,0.005
11150,0.04,0.005
11160,0.04,0.005
11170,0.04,0.005
11180,0.04,0.005
11190,0.04,0.005
11200,0.04,0.005
11210,0.04,0.005
11220,0.04,0.005
11230,0.04,0.005
11240,0.04,0.005
11250,0.04,0.005
11260,0.04,0.005
11270,0.04,0.005
11280,0.04,0.005
11290,0.04,0.005
11300,0.04,0.005
11310,0.04,0.005
11320,0.04,0.005
11330,0.04,0.005
11340,0.04,0.005
11350,0.04,0.005
11360,0.04,0.005
11370,0.04,0.005
11380,0.04,0.005
11390,0.04,0.005
11400,0.04,0.005
11410,0.04,0.005
11420,0.04,0.005
11430,0.04,0.005
11440,0.04,0.005
11450,0.04,0.005
11460,0.04,0.005
11470,0.04,0.005
11480,0.04,0.005
11490,0.04,0.005
11500,0.04,0.005
11510,0.04,0.005
11520,0.04,0.005
11530,0.04,0.005
11540,0.04,0.005
11550,0.04,0.005
11560,0.04,0.005
11570,0.04,0.005
11580,0.04,0.005
11590,0.04,0.005
11600,0.04,0.005
11610,0.04,0.005
11620,0.04,0.005
11630,0.04,0.005
11640,0.04,0.005
11650,0.04,0.005
11660,0.04,0.005
11670,0.04,0.005
11680,0.04,0.005
11690,0.04,0.005
11700,0.04,0.005
11710,0.04,0.005
11720,0.04,0.005
11730,0.04,0.005
11740,0.04,0.005
11750,0.04,0.005
11760,0.04,0.005
11770,0.04,0.005
11780,0.04,0.005
11790,0.04,0.005
11800,0.04,0.005
11810,0.04,0.005
11820,0.04,0.005
11830,0.04,0.005
11840,0.04,0.005
11850,0.04,0.005
11860,0.04,0.005
11870,0.04,0.005
11880,0.04,0.005
11890,0.04,0.005
11900,0.04,0.005
11910,0.04,0.005
11920,0.04,0.005
11930,0.04,0.005
11940,0.04,0.005
11950,0.04,0.005
11960,0.04,0.005
11970,0.04,0.005
11980,0.04,0.005
11990,0.04,0.005
12000,0.04,0.005
12010,0.04,0.005
12020,0.04,0.005
12030,0.04,0.005
12040,0.04,0.005
12050,0.04,0.005
12060,0.04,0.005
12070,0.04,0.005
12080,0.04,0.005
12090,0.04,0.005
12100,0.04,0.005
12110,0.04,0.005
12120,0.04,0.005
12130,0.04,0.005
12140,0.04,0.005
12150,0.04,0.005
12160,0.04,0.005
12170,0.04,0.005
12180,0.04,0.005
12190,0.04,0.005
