t,N_f,N_g
14200,25,200
14210,25,200
14220,25,200
14230,25,200
14240,25,200
14250,25,200
14260,25,200
14270,25,200
14280,25,200
14290,25,200
14300,25,200
14310,25,200
14320,25,200
14330,25,200
14340,25,200
14350,25,200
14360,25,200
14370,25,200
14380,25,200
14390,25,200
14400,25,200
14410,25,200
14420,25,200
14430,25,200
14440,25,200
14450,25,200
14460,25,200
14470,25,200
14480,25,200
14490,25,200
14500,25,200
14510,25,200
14520,25,200
14530,25,200
14540,25,200
14550,25,200
14560,25,200
14570,25,200
14580,25,200
14590,25,200
14600,25,200
14610,25,200
14620,25,200
14630,25,200
14640,25,200
14650,25,200
14660,25,200
14670,25,200
14680,25,200
14690,25,200
14700,25,200
14710,25,200
14720,25,200
14730,25,200
14740,25,200
14750,25,200
14760,25,200
14770,25,200
14780,25,200
14790,25,200
14800,25,200
14810,25,200
14820,25,200
14830,25,200
14840,25,200
14850,25,200
14860,25,200
14870,25,200
14880,25,200
14890,25,200
14900,25,200
14910,25,200
14920,25,200
14930,25,200
14940,25,200
14950,25,200
14960,25,200
14970,25,200
14980,25,200
14990,25,200
15000,25,200
15010,25,200
15020,25,200
15030,25,200
15040,25,200
15050,25,200
15060,25,200
15070,25,200
15080,25,200
15090,25,200
15100,25,200
15110,25,200
15120,25,200
15130,25,200
15140,25,200
15150,25,200
15160,25,200
15170,25,200
15180,25,200
15190,25,200
15200,25,200
15210,25,200
15220,25,200
15230,25,200
15240,25,200
15250,25,200
15260,25,200
15270,25,200
15280,25,200
15290,25,200
15300,25,200
15310,25,200
15320,25,200
15330,25,200
15340,25,200
15350,25,200
15360,25,200
15370,25,200
15380,25,200
15390,25,200
15400,25,200
15410,25,200
15420,25,200
15430,25,200
15440,25,200
15450,25,200
15460,25,200
15470,25,200
15480,25,200
15490,25,200
15500,25,200
15510,25,200
15520,25,200
15530,25,200
15540,25,200
15550,25,200
15560,25,200
15570,25,200
15580,25,200
15590,25,200
15600,25,200
15610,25,200
15620,25,200
15630,25,200
15640,25,200
15650,25,200
15660,25,200
15670,25,200
15680,25,200
15690,25,200
15700,25,200
15710,25,200
15720,25,200
15730,25,200
15740,25,200
15750,25,200
15760,25,200
15770,25,200
15780,25,200
15790,25,200
15800,25,200
15810,25,200
15820,25,200
15830,25,200
15840,25,200
15850,25,200
15860,25,200
15870,25,200
15880,25,200
15890,25,200
15900,25,200
15910,25,200
15920,25,200
15930,25,200
15940,25,200
15950,25,200
15960,25,200
15970,25,200
15980,25,200
15990,25,200
16000,25,200
16010,25,200
16020,25,200
16030,25,200
16040,25,200
16050,25,200
16060,25,200
16070,25,200
16080,25,200
16090,25,200
16100,25,200
16110,25,200
16120,25,200
16130,25,200
16140,25,200
16150,25,200
16160,25,200
16170,25,200
16180,25,200
16190,25,200
16200,25,200
16210,25,200
16220,25,200
16230,25,200
16240,25,200
16250,25,200
16260,25,200
16270,25,200
16280,25,200
16290,25,200
16300,25,200
16310,25,200
16320,25,200
16330,25,200
16340,25,200
16350,25,200
16360,25,200
16370,25,200
16380,25,200
16390,25,200
16400,25,200
16410,25,200
16420,25,200
16430,25,200
16440,25,200
16450,25,200
16460,25,200
16470,25,200
16480,25,200
16490,25,200
16500,25,200
16510,25,200
16520,25,200
16530,25,200
16540,25,200
16550,25,200
16560,25,200
16570,25,200
16580,25,200
16590,25,200
16600,25,200
16610,25,200
16620,25,200
16630,25,200
16640,25,200
16650,25,200
16660,25,200
16670,25,200
16680,25,200
16690,25,200
16700,25,200
16710,25,200
16720,25,200
16730,25,200
16740,25,200
16750,25,200
16760,25,200
16770,25,200
16780,25,200
16790,25,200
16800,25,200
16810,25,200
16820,25,200
16830,25,200
16840,25,200
16850,25,200
16860,25,200
16870,25,200
16880,25,200
16890,25,200
16900,25,200
16910,25,200
16920,25,200
16930,25,200
16940,25,200
16950,25,200
16960,25,200
16970,25,200
16980,25,200
16990,25,200
17000,25,200
17010,25,200
17020,25,200
17030,25,200
17040,25,200
17050,25,200
17060,25,200
17070,25,200
17080,25,200
17090,25,200
17100,25,200
17110,25,200
17120,25,200
17130,25,200
17140,25,200
17150,25,200
17160,25,200
17170,25,200
17180,25,200
17190,25,200
17200,25,200
17210,25,200
17220,25,200
17230,25,200
17240,25,200
17250,25,200
17260,25,200
17270,25,200
17280,25,200
17290,25,200
17300,25,200
17310,25,200
17320,25,200
17330,25,200
17340,25,200
17350,25,200
17360,25,200
17370,25,200
17380,25,200
17390,25,200
17400,25,200
17410,25,200
17420,25,200
17430,25,200
17440,25,200
17450,25,200
17460,25,200
17470,25,200
17480,25,200
17490,25,200
17500,25,200
17510,25,200
17520,25,200
17530,25,200
17540,25,200
17550,25,200
17560,25,200
17570,25,200
17580,25,200
17590,25,200
17600,25,200
17610,25,200
17620,25,200
17630,25,200
17640,25,200
17650,25,200
17660,25,200
17670,25,200
17680,25,200
17690,25,200
17700,25,200
17710,25,200
17720,25,200
17730,25,200
17740,25,200
17750,25,200
17760,25,200
17770,25,200
17780,25,200
17790,25,200
17800,25,200
17810,25,200
17820,25,200
17830,25,200
17840,25,200
17850,25,200
17860,25,200
17870,25,200
17880,25,200
17890,25,200
17900,25,200
17910,25,200
17920,25,200
17930,25,200
17940,25,200
17950,25,200
17960,25,200
17970,25,200
17980,25,200
17990,25,200
18000,25,200
18010,25,200
18020,25,200
18030,25,200
18040,25,200
18050,25,200
18060,25,200
18070,25,200
18080,25,200
18090,25,200
18100,25,200
18110,25,200
18120,25,200
18130,25,200
18140,25,200
18150,25,200
18160,25,200
18170,25,200
18180,25,200
18190,25,200
18200,25,200
18210,25,200
18220,25,200
18230,25,200
18240,25,200
18250,25,200
18260,25,200
18270,25,200
18280,25,200
18290,25,200
18300,25,200
18310,25,200
18320,25,200
18330,25,200
18340,25,200
18350,25,200
18360,25,200
18370,25,200
18380,25,200
18390,25,200
18400,25,200
18410,25,200
18420,25,200
18430,25,200
18440,25,200
18450,25,200
18460,25,200
18470,25,200
18480,25,200
18490,25,200
18500,25,200
18510,25,200
18520,25,200
18530,25,200
18540,25,200
18550,25,200
18560,25,200
18570,25,200
18580,25,200
18590,25,200
18600,25,200
18610,25,200
18620,25,200
18630,25,200
18640,25,200
18650,25,200
18660,25,200
18670,25,200
18680,25,200
18690,25,200
18700,25,200
18710,25,200
18720,25,200
18730,25,200
18740,25,200
18750,25,200
18760,25,200
18770,25,200
18780,25,200
18790,25,200
18800,25,200
18810,25,200
18820,25,200
18830,25,200
18840,25,200
18850,25,200
18860,25,200
18870,25,200
18880,25,200
18890,25,200
18900,25,200
18910,25,200
18920,25,200
18930,25,200
18940,25,200
18950,25,200
18960,25,200
18970,25,200
18980,25,200
18990,25,200
19000,25,200
19010,25,200
19020,25,200
19030,25,200
19040,25,200
19050,25,200
19060,25,200
19070,25,200
19080,25,200
19090,25,200
19100,25,200
19110,25,200
19120,25,200
19130,25,200
19140,25,200
19150,25,200
19160,25,200
19170,25,200
19180,25,200
19190,25,200
19200,25,200
