t,e^(-dS)
927,0.694474
928,0.602842
929,0.986127
930,0.566884
931,2.16236
932,1.32101
933,0.415447
934,0.658955
935,1.28236
936,1.38861
937,1.0752
938,0.920701
939,0.934578
940,0.988862
941,1.07352
942,0.650444
943,3.75843
944,0.35134
945,1.50005
946,1.02041
947,0.818485
948,1.41072
949,0.581061
950,1.51755
951,0.705323
952,1.05461
953,1.15766
954,0.834018
955,0.372134
956,0.650639
957,1.01263
958,0.764831
959,1.07521
960,0.401238
961,0.941557
962,1.88363
963,1.38209
964,1.3279
965,0.915871
966,1.96915
967,0.400917
968,0.249075
969,1.72013
970,1.02673
971,0.913027
972,1.2581
973,0.721084
974,0.857787
975,0.73125
976,1.31128
977,1.22826
978,1.42049
979,0.608718
980,0.64908
981,1.18875
982,0.575567
983,0.496337
984,0.543134
985,2.51607
986,0.691425
987,1.9721
988,0.243169
989,0.600075
990,0.469165
991,0.620084
992,2.09698
993,0.22741
994,0.261061
995,0.552943
996,0.469964
997,0.599655
998,0.289384
999,0.510788
1000,1.74055
1001,0.390862
1002,0.903933
1003,1.55209
1004,0.300592
1005,0.617424
1006,0.718062
1007,1.24558
1008,1.12648
1009,1.11293
1010,1.41765
1011,0.78075
1012,0.187683
1013,0.385544
1014,3.53955
1015,0.357364
1016,0.596009
1017,0.620084
1018,0.959119
1019,1.77234
1020,1.10498
1021,0.963994
1022,0.232701
1023,0.716269
1024,0.958141
1025,0.662258
1026,1.3531
1027,0.532166
1028,1.03845
1029,0.822917
1030,0.974822
1031,0.81172
1032,1.0331
1033,1.19315
1034,0.460151
1035,0.489731
1036,1.42946
1037,1.16754
1038,0.951277
1039,0.52017
1040,0.446418
1041,0.400517
1042,0.412096
1043,0.552943
1044,1.61462
1045,0.931164
1046,0.218931
1047,1.2924
1048,1.93189
1049,0.520326
1050,1.50516
1051,0.713124
1052,0.234336
1053,2.12591
1054,0.936796
1055,2.92122
1056,0.972991
1057,1.38694
1058,0.709
1059,0.728914
1060,1.96482
1061,0.612688
1062,0.497878
1063,0.792074
1064,0.23457
1065,2.27755
1066,0.626441
1067,1.90104
1068,0.893955
1069,1.37396
1070,0.675501
1071,2.61954
1072,0.575452
1073,1.50817
1074,0.820206
1075,0.97492
1076,0.775304
1077,0.390198
1078,0.606531
1079,0.58304
1080,0.876078
1081,1.06966
1082,1.03066
1083,1.02983
1084,0.612688
1085,0.478691
1086,1.62564
1087,1.04787
1088,0.893419
1089,1.28763
1090,2.48407
1091,0.279431
1092,0.538429
1093,1.32366
1094,0.785135
1095,0.837696
1096,0.698095
1097,0.74067
1098,3.01621
