ReTr(L),ImTr(L)
0.039242,0.0142701
0.039242,0.0142701
0.039242,0.0142701
0.0342988,0.0169342
0.0379063,0.0147042
0.0388905,0.0214883
0.0382165,0.0234854
0.0356762,0.0216926
0.0355765,0.0245782
0.03468,0.0206194
0.0331137,0.0226896
0.0383088,0.0213193
0.036255,0.0178535
0.0367797,0.0225676
0.0367478,0.0235496
0.031714,0.021694
0.031714,0.021694
0.0312448,0.0221173
0.0374912,0.0246788
0.0309645,0.0244042
0.0361098,0.0179928
0.0395525,0.0256055
0.0323917,0.0234297
0.0305115,0.0223518
0.031847,0.0197771
0.0284863,0.0223513
0.0249609,0.0269383
0.0273025,0.0193398
0.028288,0.0230058
0.0335182,0.0189759
0.0326183,0.0208635
0.0318083,0.0269173
0.027132,0.0207778
0.027132,0.0207778
0.027132,0.0207778
0.0259265,0.0198284
0.0259265,0.0198284
0.0294818,0.0230819
0.0347143,0.0280935
0.0292307,0.0216336
0.0302443,0.0224084
0.0247077,0.0247819
0.0247077,0.0247819
0.030044,0.0229998
0.0280952,0.0232475
0.0285763,0.0222222
0.0224561,0.019456
0.0266985,0.0213728
0.032443,0.0227094
0.0266965,0.0226826
0.0250023,0.0252763
0.0250023,0.0252763
0.0284338,0.0252652
0.0328905,0.0225139
0.035212,0.0257288
0.0265617,0.0220988
0.0305592,0.0270085
0.0302768,0.0204212
0.0324235,0.0237535
0.0348955,0.026686
0.0354063,0.0207301
0.0412,0.0305895
0.039527,0.0221765
0.0371167,0.0212158
0.0376615,0.0193961
0.0401953,0.026025
0.0401953,0.026025
0.0390798,0.0227856
0.04131,0.0232563
0.037238,0.0244016
0.0395483,0.0221545
0.0395483,0.0221545
0.0337047,0.0264817
0.0446602,0.0240224
0.0384025,0.0230676
0.0352685,0.0259347
0.0392562,0.0202682
0.0384398,0.0266343
0.0385322,0.0216955
0.0372717,0.0235937
0.0340135,0.0160304
0.039687,0.0226935
0.039687,0.0226935
0.039687,0.0226935
0.039687,0.0226935
0.0402675,0.0220263
0.0413523,0.0190395
0.0372265,0.0186417
0.0429332,0.0172563
0.040958,0.0200291
0.0458895,0.0258908
0.0380248,0.0213218
0.0385588,0.0250952
0.0445292,0.0286628
0.0445292,0.0286628
0.045566,0.0208405
0.0427447,0.0228086
0.0379377,0.00963597
0.0383365,0.0192702
0.0383365,0.0192702
0.0424242,0.0241852
0.0380962,0.0193297
0.0380962,0.0193297
0.0431928,0.0170829
0.0431928,0.0170829
0.0431928,0.0170829
0.0391022,0.0229219
0.0391022,0.0229219
0.033023,0.0228282
0.0388703,0.0174896
0.0446597,0.0182885
0.040016,0.0153863
0.0423845,0.015437
0.0382367,0.0126343
0.0427073,0.0156714
0.0424208,0.0140129
0.037245,0.00998355
0.037245,0.00998355
0.0465308,0.0136938
0.040911,0.0086986
0.0477212,0.00453935
0.0477212,0.00453935
0.0413515,0.0137903
0.0389435,0.00713425
0.0389435,0.00713425
0.0360728,0.0135572
0.0358705,0.00650582
0.0420027,0.00650023
0.0420027,0.00650023
0.0505278,0.0127506
0.0391553,0.00964228
0.045802,0.0105335
0.037825,0.00816925
0.037825,0.00816925
0.0384873,0.0128433
0.0446382,0.0122376
0.0456618,0.00894153
0.0456618,0.00894153
0.0478013,0.0144778
0.0478013,0.0144778
0.0432432,0.0155716
0.04603,0.0189661
0.045993,0.0222808
0.045993,0.0222808
0.0403413,0.020744
0.0403413,0.020744
0.0403105,0.0128335
