t,cg_iters
1760,67977
1761,68422
1762,67331
1763,66434
1764,66236
1765,68100
1766,68227
1767,68819
1768,68352
1769,68580
1770,67071
1771,67122
1772,67813
1773,67862
1774,66712
1775,67429
1776,68485
1777,68058
1778,68753
1779,68747
1780,68022
1781,67227
1782,69981
1783,70207
1784,72014
1785,70898
1786,70965
1787,72399
1788,70780
1789,69582
1790,71140
1791,70645
1792,70056
1793,70851
1794,69575
1795,70740
1796,71289
1797,70510
1798,70876
1799,71321
1800,70495
1801,72133
1802,69748
1803,70788
1804,69773
1805,69763
1806,70373
1807,69201
1808,67743
1809,67074
1810,69003
1811,69626
1812,70508
1813,70698
1814,70260
1815,69639
1816,71392
1817,70768
1818,69310
1819,71192
1820,72308
1821,70426
1822,74448
1823,71194
1824,73329
1825,71513
1826,69828
1827,67517
1828,67270
1829,67295
1830,67491
1831,67093
1832,68072
1833,68885
1834,66942
1835,68373
1836,67671
1837,66726
1838,68459
1839,68018
1840,69587
1841,71030
1842,71234
1843,73328
1844,70389
1845,69323
1846,69056
1847,68357
1848,67690
1849,66392
1850,65510
1851,66710
1852,66013
1853,65273
1854,64992
1855,65352
1856,65052
1857,65679
1858,64066
1859,64196
1860,64657
1861,64274
1862,62774
1863,62815
1864,63573
1865,64697
1866,65595
1867,65198
1868,64926
1869,64740
1870,64954
1871,65273
1872,64798
1873,63711
1874,65859
1875,64738
1876,65101
1877,65316
1878,65862
1879,65136
1880,65327
1881,65320
1882,65063
1883,65472
1884,64548
1885,64158
1886,65141
1887,64889
1888,64658
1889,64351
1890,64356
1891,64692
1892,64732
1893,62619
1894,61784
1895,61603
1896,62371
1897,60883
1898,60535
1899,62923
1900,64736
1901,64434
1902,63612
1903,62604
1904,62120
1905,62556
1906,61619
1907,60555
1908,59991
1909,60164
1910,59707
1911,60564
1912,62111
1913,61188
1914,60364
1915,60400
1916,60687
1917,61595
1918,62016
1919,59295
1920,60857
1921,60775
1922,60576
1923,60677
1924,61540
1925,62550
1926,61506
1927,62130
1928,60558
1929,61442
1930,61731
1931,61537
1932,60900
1933,60784
1934,60609
1935,61233
1936,60488
1937,61610
1938,61343
1939,60351
1940,60263
1941,60281
1942,59803
1943,61197
1944,60575
1945,60294
1946,60426
1947,60579
1948,59735
1949,59140
1950,59075
1951,58516
1952,58576
1953,57391
1954,58917
1955,57415
1956,57999
1957,57340
1958,54725
1959,54915
1960,54466
1961,55133
1962,55834
1963,56124
1964,55728
1965,55023
1966,54829
1967,56318
1968,57870
1969,58773
1970,60071
1971,61138
1972,61951
1973,61105
1974,60453
1975,60322
1976,59319
1977,60397
1978,61311
1979,62061
1980,60223
1981,60077
1982,61803
1983,64364
1984,68016
1985,69477
1986,68614
1987,69513
1988,68501
1989,66654
1990,66817
1991,68001
1992,67067
1993,67884
1994,69609
1995,71649
1996,70211
1997,70214
1998,69163
1999,71452
2000,71445
2001,68524
2002,66605
2003,69711
2004,70509
2005,69870
2006,68406
2007,70228
2008,69106
2009,69414
2010,69797
2011,70427
2012,70883
2013,70254
2014,71287
2015,70436
2016,70491
2017,69045
2018,69135
2019,69688
2020,70604
2021,70614
2022,70098
2023,70667
2024,69132
2025,68595
2026,69080
2027,68715
2028,68318
2029,68234
2030,68941
2031,69445
2032,69316
2033,70146
2034,68828
2035,68277
2036,68521
2037,68840
2038,70078
2039,68954
2040,67492
2041,67435
2042,66526
2043,67170
2044,67194
2045,66206
2046,64808
2047,63594
2048,62650
2049,61732
2050,62098
2051,63048
2052,63153
2053,63056
2054,64385
2055,64914
2056,66923
2057,67619
2058,68045
2059,69009
2060,68720
2061,67865
2062,68798
2063,67753
2064,67199
2065,67137
2066,67596
2067,66648
2068,67727
2069,67353
2070,68419
2071,66494
2072,67100
2073,66157
2074,66393
2075,66931
2076,66637
2077,67488
2078,67574
2079,66736
2080,65157
2081,63617
2082,63745
2083,64404
2084,64067
2085,64376
2086,64631
2087,64278
2088,65385
2089,67260
2090,66300
2091,65282
2092,66792
2093,68211
2094,67161
2095,67856
2096,66860
2097,66391
2098,67181
2099,66937
2100,65215
2101,66378
2102,69125
2103,69148
2104,68880
2105,70441
2106,71507
2107,69654
2108,71085
2109,70556
2110,69730
2111,69278
2112,69354
2113,69650
2114,68818
2115,70367
2116,69244
2117,69546
2118,69446
2119,69158
2120,70159
2121,69010
2122,69651
2123,69357
2124,70198
2125,68811
2126,69781
2127,68872
2128,69293
2129,68834
2130,68063
2131,69542
2132,69468
2133,65988
2134,66289
2135,66474
2136,66481
2137,66615
2138,67905
2139,68022
2140,67808
2141,69046
2142,68331
2143,68463
2144,67731
2145,69050
2146,69569
2147,70353
2148,70807
2149,68622
2150,70318
2151,68551
2152,67991
2153,68960
2154,67864
2155,69840
2156,72132
2157,73091
2158,74358
2159,70479
2160,71002
2161,71673
2162,70693
2163,70503
2164,71893
2165,71786
2166,70415
2167,71780
2168,70988
2169,71767
2170,72397
2171,72083
2172,72569
2173,72695
2174,70656
2175,69937
2176,68463
2177,68543
2178,68152
2179,67330
2180,67574
2181,68359
2182,68321
2183,69710
2184,70716
2185,69247
2186,70408
2187,70286
2188,69531
2189,69806
2190,69018
2191,68155
2192,69048
2193,70614
2194,70909
2195,70301
2196,69877
2197,68261
2198,71416
2199,71689
2200,70830
2201,70838
2202,71775
2203,70861
2204,72762
2205,72904
2206,76390
2207,76239
2208,75306
2209,74816
2210,74762
2211,72214
2212,73022
2213,74516
2214,75048
2215,74258
2216,71060
2217,68712
2218,70749
2219,71145
2220,70336
2221,71633
2222,73007
2223,71673
2224,71763
2225,71223
2226,70607
2227,70380
2228,70963
2229,70942
2230,69716
2231,69605
2232,69602
2233,70200
2234,68685
2235,67520
2236,69177
2237,70498
2238,69517
2239,70089
2240,76062
2241,74585
2242,73736
2243,72122
2244,72292
2245,71242
2246,69300
2247,67713
2248,65596
2249,66713
2250,67799
2251,68601
2252,69838
2253,69031
2254,68204
2255,67546
2256,68186
2257,69373
2258,70353
2259,70599
2260,74373
2261,74094
2262,70864
2263,70081
2264,72393
2265,72409
2266,68603
2267,67930
2268,67562
2269,66288
2270,66370
2271,67575
2272,69300
2273,69967
2274,69250
2275,70167
2276,70383
2277,69632
2278,67088
2279,67206
2280,67035
2281,68124
2282,67103
2283,66623
2284,65981
2285,65818
2286,67484
2287,67630
2288,67762
2289,66286
2290,67325
2291,67418
2292,66066
2293,64322
2294,65462
2295,65561
2296,65995
2297,65650
2298,66568
2299,64957
2300,62665
2301,62142
2302,61537
2303,60669
2304,59748
2305,60094
2306,61024
2307,60396
2308,61070
2309,60078
2310,59972
2311,62016
2312,62178
2313,62688
2314,60905
2315,60030
2316,61408
2317,63157
2318,62965
2319,63138
2320,64552
2321,65002
2322,64030
2323,63573
2324,64569
2325,66049
2326,64595
2327,63959
2328,64619
2329,64546
2330,63281
2331,62157
2332,64157
2333,64103
2334,63053
2335,64005
2336,64220
2337,64456
2338,64784
2339,63083
2340,63489
2341,63765
2342,63736
2343,64317
2344,63876
2345,62792
2346,62252
2347,61489
2348,60838
2349,59380
2350,60025
2351,61472
2352,60740
2353,62102
2354,62759
2355,63510
2356,64667
2357,65491
2358,65355
2359,65587
2360,65425
2361,66338
2362,67593
2363,65757
2364,65316
2365,65382
2366,64191
2367,64095
2368,64744
2369,66246
2370,67497
2371,68641
2372,67533
2373,68129
2374,68512
2375,67617
2376,70553
2377,72716
2378,70425
2379,71764
2380,71654
2381,72120
2382,71331
2383,69992
2384,66826
2385,68001
2386,65578
2387,64849
2388,64227
2389,63675
2390,63919
2391,64567
2392,62705
2393,62396
2394,61334
2395,61141
2396,62316
2397,60877
2398,60401
2399,60845
2400,61096
2401,61584
2402,61021
2403,59497
2404,58893
2405,58890
2406,59260
2407,59279
2408,58782
2409,59269
2410,60446
2411,60499
2412,60156
2413,59780
2414,60904
2415,61193
2416,61042
2417,61507
2418,61508
2419,62149
2420,63366
2421,63403
2422,62882
2423,63610
2424,64421
2425,64565
2426,64675
2427,64703
2428,63347
2429,63224
2430,63477
2431,62992
2432,61418
2433,62870
2434,62675
2435,62031
2436,62349
2437,61270
2438,62105
2439,62793
2440,64110
2441,67363
2442,66981
2443,65990
2444,65795
2445,67796
2446,70022
2447,74686
2448,71916
2449,70046
2450,71885
2451,72867
2452,69183
2453,68293
2454,66986
2455,67042
2456,65821
2457,66003
2458,68085
2459,66184
2460,67108
2461,68520
2462,67788
2463,66922
2464,64926
2465,64229
2466,64774
2467,68257
2468,71510
2469,69990
2470,71068
2471,72347
2472,73716
2473,71647
2474,71925
2475,74647
2476,72574
2477,74704
2478,73100
2479,71549
2480,72111
2481,68359
2482,67455
2483,66410
2484,65993
2485,66478
2486,67811
2487,66475
2488,65162
2489,65958
2490,65984
2491,65012
2492,63936
2493,66401
2494,68295
