ReTr(L*),ImTr(Lx),ImTr(Ly),ImTr(Lz),ImTr(L5)
0.205639,null,-0.109736,null,null
0.16729,null,null,0.161165,null
0.0101293,null,null,null,-0.0315988
0.188188,-0.142593,null,null,null
0.201213,null,-0.111939,null,null
0.167454,null,null,0.155474,null
0.0054917,null,null,null,-0.0246884
0.188188,-0.142593,null,null,null
0.201213,null,-0.111939,null,null
0.167454,null,null,0.155474,null
0.0054917,null,null,null,-0.0246884
0.188188,-0.142593,null,null,null
0.201213,null,-0.111939,null,null
0.167454,null,null,0.155474,null
0.0054917,null,null,null,-0.0246884
0.185831,-0.141053,null,null,null
0.203007,null,-0.112187,null,null
0.166295,null,null,0.162203,null
0.0135907,null,null,null,-0.0251397
0.189257,-0.138422,null,null,null
0.204706,null,-0.114406,null,null
0.164234,null,null,0.164802,null
0.0180057,null,null,null,-0.0286995
0.192339,-0.136422,null,null,null
0.210905,null,-0.114924,null,null
0.161619,null,null,0.158806,null
0.011164,null,null,null,-0.0289142
0.195446,-0.139716,null,null,null
0.206289,null,-0.11247,null,null
0.166411,null,null,0.164194,null
0.00895657,null,null,null,-0.0270592
0.190651,-0.133661,null,null,null
0.20657,null,-0.110485,null,null
0.165954,null,null,0.170021,null
0.0109749,null,null,null,-0.0309402
0.190651,-0.133661,null,null,null
0.20657,null,-0.110485,null,null
0.165954,null,null,0.170021,null
0.0109749,null,null,null,-0.0309402
0.196168,-0.122443,null,null,null
0.211718,null,-0.107254,null,null
0.169266,null,null,0.16163,null
0.0146142,null,null,null,-0.0317305
0.202396,-0.129532,null,null,null
0.208716,null,-0.107063,null,null
0.171884,null,null,0.157644,null
0.0104352,null,null,null,-0.0235558
0.20207,-0.131181,null,null,null
0.209527,null,-0.111484,null,null
0.17076,null,null,0.16305,null
0.0134437,null,null,null,-0.034402
0.20207,-0.131181,null,null,null
0.209527,null,-0.111484,null,null
0.17076,null,null,0.16305,null
0.0134437,null,null,null,-0.034402
0.203105,-0.131247,null,null,null
0.206062,null,-0.109232,null,null
0.175185,null,null,0.166596,null
0.012864,null,null,null,-0.0334785
0.205216,-0.122757,null,null,null
0.208902,null,-0.114014,null,null
0.173927,null,null,0.167376,null
0.0152241,null,null,null,-0.0374878
0.204497,-0.122227,null,null,null
0.20987,null,-0.109642,null,null
0.176459,null,null,0.160596,null
0.0235907,null,null,null,-0.0284123
0.204497,-0.122227,null,null,null
0.20987,null,-0.109642,null,null
0.176459,null,null,0.160596,null
0.0235907,null,null,null,-0.0284123
0.212283,-0.123251,null,null,null
0.212238,null,-0.108163,null,null
0.176802,null,null,0.161889,null
0.0173394,null,null,null,-0.0330805
0.210274,-0.128974,null,null,null
0.21166,null,-0.112402,null,null
0.176684,null,null,0.164742,null
0.0128001,null,null,null,-0.032445
0.20424,-0.127726,null,null,null
0.209666,null,-0.115377,null,null
0.171978,null,null,0.167213,null
0.0166089,null,null,null,-0.0270687
0.20424,-0.127726,null,null,null
0.209666,null,-0.115377,null,null
0.171978,null,null,0.167213,null
0.0166089,null,null,null,-0.0270687
0.20424,-0.127726,null,null,null
0.209666,null,-0.115377,null,null
0.171978,null,null,0.167213,null
0.0166089,null,null,null,-0.0270687
0.20424,-0.127726,null,null,null
0.209666,null,-0.115377,null,null
0.171978,null,null,0.167213,null
0.0166089,null,null,null,-0.0270687
0.209714,-0.126052,null,null,null
0.208489,null,-0.117327,null,null
0.173575,null,null,0.165858,null
0.0186737,null,null,null,-0.0291755
0.213141,-0.118398,null,null,null
0.210837,null,-0.113266,null,null
0.168658,null,null,0.165395,null
0.0166785,null,null,null,-0.0287315
0.211838,-0.113472,null,null,null
0.206778,null,-0.115309,null,null
0.173429,null,null,0.17722,null
0.0135396,null,null,null,-0.0293735
0.211346,-0.123644,null,null,null
0.21045,null,-0.119036,null,null
0.165974,null,null,0.179511,null
0.0177531,null,null,null,-0.0338415
0.214467,-0.114018,null,null,null
0.213993,null,-0.120377,null,null
0.168097,null,null,0.172416,null
0.0175927,null,null,null,-0.0368952
0.210013,-0.110096,null,null,null
0.21099,null,-0.122683,null,null
0.163943,null,null,0.171819,null
0.0227134,null,null,null,-0.0388107
0.206315,-0.117855,null,null,null
0.208171,null,-0.119235,null,null
0.171213,null,null,0.170589,null
0.0154179,null,null,null,-0.0373775
0.21347,-0.11635,null,null,null
0.205655,null,-0.122487,null,null
0.174224,null,null,0.167615,null
0.021594,null,null,null,-0.0335732
0.21347,-0.11635,null,null,null
0.205655,null,-0.122487,null,null
0.174224,null,null,0.167615,null
0.021594,null,null,null,-0.0335732
0.217612,-0.124177,null,null,null
0.205402,null,-0.123198,null,null
0.178848,null,null,0.164224,null
0.0189772,null,null,null,-0.0391133
0.218207,-0.120434,null,null,null
0.210688,null,-0.121908,null,null
0.17465,null,null,0.163241,null
0.0158894,null,null,null,-0.0345715
0.227516,-0.113226,null,null,null
0.209972,null,-0.120341,null,null
0.175785,null,null,0.161654,null
0.0187629,null,null,null,-0.0303785
0.227516,-0.113226,null,null,null
0.209972,null,-0.120341,null,null
0.175785,null,null,0.161654,null
0.0187629,null,null,null,-0.0303785
0.227516,-0.113226,null,null,null
0.209972,null,-0.120341,null,null
0.175785,null,null,0.161654,null
0.0187629,null,null,null,-0.0303785
0.220689,-0.107035,null,null,null
0.214039,null,-0.118219,null,null
0.172527,null,null,0.160545,null
0.0138522,null,null,null,-0.0346715
0.222474,-0.117191,null,null,null
0.205821,null,-0.119424,null,null
0.171858,null,null,0.165163,null
0.0186095,null,null,null,-0.0347107
0.225134,-0.111848,null,null,null
0.20695,null,-0.117806,null,null
0.168479,null,null,0.160948,null
0.00906598,null,null,null,-0.0343777
0.223428,-0.110369,null,null,null
0.20882,null,-0.115714,null,null
0.172071,null,null,0.160166,null
0.020194,null,null,null,-0.0399905
0.222101,-0.105118,null,null,null
0.199925,null,-0.123928,null,null
0.177931,null,null,0.161985,null
0.0205677,null,null,null,-0.032913
0.222194,-0.107578,null,null,null
0.201595,null,-0.11875,null,null
0.180008,null,null,0.160412,null
0.0154791,null,null,null,-0.0277767
0.220623,-0.112471,null,null,null
0.197242,null,-0.114822,null,null
0.180444,null,null,0.164624,null
0.0173933,null,null,null,-0.0351928
0.221465,-0.117132,null,null,null
0.196689,null,-0.114357,null,null
0.175195,null,null,0.165304,null
0.0189382,null,null,null,-0.0343895
0.221465,-0.117132,null,null,null
0.196689,null,-0.114357,null,null
0.175195,null,null,0.165304,null
0.0189382,null,null,null,-0.0343895
0.221465,-0.117132,null,null,null
0.196689,null,-0.114357,null,null
0.175195,null,null,0.165304,null
0.0189382,null,null,null,-0.0343895
0.221465,-0.117132,null,null,null
0.196689,null,-0.114357,null,null
0.175195,null,null,0.165304,null
0.0189382,null,null,null,-0.0343895
0.221465,-0.117132,null,null,null
0.196689,null,-0.114357,null,null
0.175195,null,null,0.165304,null
0.0189382,null,null,null,-0.0343895
0.218561,-0.120067,null,null,null
0.196526,null,-0.118714,null,null
0.17416,null,null,0.168783,null
0.018967,null,null,null,-0.0322318
0.215206,-0.120932,null,null,null
0.191565,null,-0.113861,null,null
0.168774,null,null,0.165864,null
0.019052,null,null,null,-0.030349
0.216069,-0.121999,null,null,null
0.18594,null,-0.122861,null,null
0.170404,null,null,0.165577,null
0.0148936,null,null,null,-0.0375313
0.22094,-0.112913,null,null,null
0.186178,null,-0.125602,null,null
0.167438,null,null,0.17316,null
0.0193827,null,null,null,-0.0427083
0.223467,-0.110631,null,null,null
0.18402,null,-0.119487,null,null
0.166603,null,null,0.17287,null
0.0146674,null,null,null,-0.0327272
0.223467,-0.110631,null,null,null
0.18402,null,-0.119487,null,null
0.166603,null,null,0.17287,null
0.0146674,null,null,null,-0.0327272
0.22247,-0.110414,null,null,null
0.185991,null,-0.12579,null,null
0.161101,null,null,0.180042,null
0.0150742,null,null,null,-0.0316587
0.222529,-0.114485,null,null,null
0.181031,null,-0.125958,null,null
0.163656,null,null,0.177171,null
0.0114327,null,null,null,-0.0291795
0.220335,-0.116342,null,null,null
0.182966,null,-0.123622,null,null
0.16287,null,null,0.179836,null
0.017411,null,null,null,-0.0346842
0.220335,-0.116342,null,null,null
0.182966,null,-0.123622,null,null
0.16287,null,null,0.179836,null
0.017411,null,null,null,-0.0346842
0.220804,-0.116542,null,null,null
0.185117,null,-0.128096,null,null
0.162111,null,null,0.179304,null
0.00935002,null,null,null,-0.0306825
0.218863,-0.120046,null,null,null
0.180375,null,-0.12541,null,null
0.160013,null,null,0.179753,null
0.00936688,null,null,null,-0.0327628
0.21642,-0.125029,null,null,null
0.175704,null,-0.119743,null,null
0.161947,null,null,0.177153,null
0.0157376,null,null,null,-0.0312902
0.211013,-0.12103,null,null,null
0.176404,null,-0.121834,null,null
0.16491,null,null,0.178586,null
0.0142847,null,null,null,-0.0290658
0.213227,-0.126519,null,null,null
0.172629,null,-0.126605,null,null
0.156608,null,null,0.177993,null
0.0177294,null,null,null,-0.0290758
0.209984,-0.121752,null,null,null
0.173284,null,-0.128215,null,null
0.155309,null,null,0.181908,null
0.0154442,null,null,null,-0.0348125
0.204934,-0.117222,null,null,null
0.172276,null,-0.123202,null,null
0.15752,null,null,0.179272,null
0.0154145,null,null,null,-0.033016
0.207055,-0.11784,null,null,null
0.172459,null,-0.128192,null,null
0.156029,null,null,0.17763,null
0.0204492,null,null,null,-0.0385593
0.206385,-0.119669,null,null,null
0.176701,null,-0.121999,null,null
0.16361,null,null,0.17704,null
0.0138814,null,null,null,-0.0339028
0.206385,-0.119669,null,null,null
0.176701,null,-0.121999,null,null
0.16361,null,null,0.17704,null
0.0138814,null,null,null,-0.0339028
0.206385,-0.119669,null,null,null
0.176701,null,-0.121999,null,null
0.16361,null,null,0.17704,null
0.0138814,null,null,null,-0.0339028
0.202821,-0.115682,null,null,null
0.173034,null,-0.129163,null,null
0.165866,null,null,0.171457,null
0.0113565,null,null,null,-0.037768
0.202946,-0.117493,null,null,null
0.176686,null,-0.125047,null,null
0.168139,null,null,0.171189,null
0.0195949,null,null,null,-0.03586
0.202946,-0.117493,null,null,null
0.176686,null,-0.125047,null,null
0.168139,null,null,0.171189,null
0.0195949,null,null,null,-0.03586
0.202946,-0.117493,null,null,null
0.176686,null,-0.125047,null,null
0.168139,null,null,0.171189,null
0.0195949,null,null,null,-0.03586
0.203762,-0.127521,null,null,null
0.173796,null,-0.122239,null,null
0.164785,null,null,0.1635,null
0.0176619,null,null,null,-0.0239381
0.204563,-0.121558,null,null,null
0.180295,null,-0.1282,null,null
0.162875,null,null,0.16148,null
0.0187299,null,null,null,-0.0311167
0.20483,-0.124598,null,null,null
0.182824,null,-0.124796,null,null
0.163751,null,null,0.169693,null
0.0168077,null,null,null,-0.0340525
0.20483,-0.124598,null,null,null
0.182824,null,-0.124796,null,null
0.163751,null,null,0.169693,null
0.0168077,null,null,null,-0.0340525
0.205056,-0.118774,null,null,null
0.172773,null,-0.12965,null,null
0.168209,null,null,0.169063,null
0.0163956,null,null,null,-0.0387793
0.208926,-0.116684,null,null,null
0.17097,null,-0.130555,null,null
0.171779,null,null,0.171751,null
0.0210192,null,null,null,-0.025201
0.204456,-0.120367,null,null,null
0.172942,null,-0.123741,null,null
0.171555,null,null,0.17163,null
0.0181649,null,null,null,-0.0321212
0.204456,-0.120367,null,null,null
0.172942,null,-0.123741,null,null
