MDTU,|Tr(Lx)|,|Tr(Ly)|,|Tr(Lz)|,|Tr(L5)|
409,0.901917,0.9038,0.894925,0.589705
410,0.887949,0.975165,0.878868,0.657067
411,0.864147,0.983115,0.853477,0.858562
412,0.854421,0.940473,0.87193,0.552931
413,0.820852,0.945693,0.890345,0.831145
414,0.873536,0.947691,0.87652,0.894619
415,0.867024,0.940509,0.89022,0.761223
416,0.859895,0.921253,0.928027,0.377821
417,0.876379,0.913645,0.886932,0.544608
418,0.883522,0.948181,0.895374,0.841476
419,0.883522,0.948181,0.895374,0.841476
420,0.884278,0.919339,0.867947,1.0602
421,0.864092,0.92711,0.885247,0.694533
422,0.866537,0.941025,0.853787,0.976444
423,0.847666,0.890201,0.861403,0.600214
424,0.847666,0.890201,0.861403,0.600214
425,0.850688,0.930538,0.8599,0.621178
426,0.874864,0.959569,0.848241,0.464109
427,0.861336,0.938475,0.841779,0.651085
428,0.887316,0.909945,0.77801,0.461356
429,0.859949,0.951118,0.835286,0.417932
430,0.867492,0.90803,0.871544,0.636982
431,0.852549,0.935415,0.825476,0.953247
432,0.830249,0.927428,0.805978,0.76663
433,0.840727,0.995611,0.820457,0.489775
434,0.84975,1.00406,0.840108,0.591669
435,0.84975,1.00406,0.840108,0.591669
436,0.84975,1.00406,0.840108,0.591669
437,0.84975,1.00406,0.840108,0.591669
438,0.874893,0.959553,0.842265,0.366662
439,0.889946,0.941406,0.812006,0.65539
440,0.860914,0.877439,0.799287,0.765585
441,0.872247,0.894463,0.818012,0.739122
442,0.933628,0.921457,0.863234,0.435231
443,0.854023,0.918648,0.835302,0.717319
444,0.944048,0.88889,0.857651,0.878978
445,0.88272,0.928915,0.832737,0.595375
446,0.890014,0.92147,0.854292,0.410214
447,0.890014,0.92147,0.854292,0.410214
448,0.915848,0.920123,0.811452,0.701387
449,0.911088,0.930922,0.803924,0.701454
450,0.965155,0.904094,0.828691,0.630253
451,0.932295,0.942673,0.860311,0.820988
452,0.932295,0.942673,0.860311,0.820988
453,0.897824,0.945459,0.825717,0.768973
454,0.894666,0.94886,0.809185,0.682182
455,0.894666,0.94886,0.809185,0.682182
456,0.931232,0.951745,0.814199,0.611472
457,0.931232,0.951745,0.814199,0.611472
