ReTr(L),ImTr(L)
1.8167,0.400638
1.8855,0.390242
1.90039,0.382447
1.93035,0.431689
1.93035,0.431689
1.93035,0.431689
1.94895,0.511659
1.94895,0.511659
1.94895,0.511659
1.91529,0.637058
1.96045,0.61701
1.89252,0.491175
1.84825,0.49306
1.843,0.426582
1.82278,0.397513
1.83069,0.333129
1.83069,0.333129
1.84037,0.295918
1.81826,0.326601
1.81826,0.326601
1.81826,0.326601
1.81826,0.326601
1.83241,0.267559
1.86713,0.196972
1.78763,0.253863
1.79948,0.288585
1.79948,0.288585
1.79948,0.288585
1.79948,0.288585
1.79948,0.288585
1.8944,0.198458
1.8944,0.198458
1.89088,0.301398
1.89088,0.301398
1.9232,0.336352
1.94062,0.389524
1.94062,0.389524
1.97469,0.446985
1.969,0.382402
1.93588,0.36289
1.93588,0.36289
1.93588,0.36289
1.92025,0.365407
1.98668,0.315902
1.91246,0.295707
1.93346,0.284291
1.93346,0.284291
1.94661,0.217872
1.87907,0.34474
1.87907,0.34474
1.86368,0.476428
1.88618,0.463332
1.84855,0.450447
1.84855,0.450447
1.84855,0.450447
1.90538,0.417349
1.90538,0.417349
1.87396,0.348812
1.87396,0.348812
1.88739,0.368978
1.85344,0.329188
1.79373,0.283361
1.79373,0.283361
1.78606,0.334377
1.78565,0.334179
1.83913,0.371587
1.83913,0.371587
1.80013,0.310598
1.71532,0.285502
1.65937,0.394627
1.65937,0.394627
1.65937,0.394627
1.65937,0.394627
1.64526,0.343249
1.65347,0.36156
1.60025,0.41704
1.59956,0.412854
1.59956,0.412854
1.59956,0.412854
1.57702,0.450396
1.57702,0.450396
1.60224,0.408366
1.60224,0.408366
1.60224,0.408366
1.66403,0.459605
1.65302,0.412314
1.65302,0.412314
1.65302,0.412314
1.65302,0.412314
1.65302,0.412314
1.72903,0.430209
1.78696,0.448323
1.83779,0.376073
1.89257,0.441259
1.89257,0.441259
1.91399,0.304564
1.89591,0.264196
1.89689,0.327558
1.88646,0.331921
1.86154,0.273074
1.86154,0.273074
1.86154,0.273074
1.84858,0.300207
1.84858,0.300207
1.85328,0.348685
1.85328,0.348685
1.85328,0.348685
1.87419,0.360122
1.85085,0.313527
1.82871,0.334032
1.85874,0.38635
1.85662,0.361409
1.82384,0.475095
1.89064,0.429829
1.88828,0.45294
1.8592,0.452335
1.91075,0.465326
1.88392,0.456293
1.88392,0.456293
1.92022,0.435677
1.93533,0.423616
1.95635,0.415106
1.95635,0.415106
1.92341,0.287675
1.92341,0.287675
1.92341,0.287675
1.91203,0.329071
1.91203,0.329071
1.9146,0.388891
1.87662,0.326299
1.93115,0.25008
1.87847,0.230882
